timestamp,thigh_acc_x,thigh_acc_y,thigh_acc_z,thigh_gyro_x,thigh_gyro_y,thigh_gyro_z,thigh_mag_x,thigh_mag_y,thigh_mag_z,shank_acc_x,shank_acc_y,shank_acc_z,shank_gyro_x,shank_gyro_y,shank_gyro_z,shank_mag_x,shank_mag_y,shank_mag_z,foot_acc_x,foot_acc_y,foot_acc_z,foot_gyro_x,foot_gyro_y,foot_gyro_z,foot_mag_x,foot_mag_y,foot_mag_z,foot_euler_x,foot_euler_y,foot_euler_z,perturbation_event
1776974411.935,9.9527,-0.2179,3.6871,0.417,-0.3246,0.2369,-82.05,19.8,27.3,9.7731,1.6855,0.6967,0.7197,0.1647,0.2161,-73.05,23.25,18.3,-3.99,-2.63,-8.51,-0.1222,-0.0185,0.0611,20.875,23.25,33.6875,358.3125,-25.0625,161.9375,0
1776974411.94,9.9527,-0.2179,3.6871,0.417,-0.3246,0.2369,-82.05,19.8,27.3,9.7731,1.6855,0.6967,0.7197,0.1647,0.2161,-73.05,23.25,18.3,-3.85,-2.76,-8.46,-0.1309,-0.0218,0.0709,20.5,22.5,33.0,358.9375,-25.0625,162.0625,0
1776974411.945,9.4212,-0.0263,3.699,0.8572,-0.2958,0.1399,-81.3,19.5,25.2,9.6367,1.4126,0.8811,0.8415,0.1178,0.2206,-73.05,23.25,18.3,-3.85,-2.76,-8.46,-0.1309,-0.0218,0.0709,20.5,22.5,33.0,358.9375,-25.0625,162.0625,0
1776974411.95,9.4212,-0.0263,3.699,0.8572,-0.2958,0.1399,-81.3,19.5,25.2,9.6367,1.4126,0.8811,0.8415,0.1178,0.2206,-72.6,22.5,18.3,-4.08,-2.57,-8.57,-0.1374,-0.0305,0.0829,20.5,22.5,33.0,358.9375,-25.0625,162.125,0
1776974411.954,9.6319,0.1245,3.383,0.8037,-0.3565,0.0935,-82.35,19.8,25.95,9.493,1.0678,1.1013,0.8735,0.1628,0.2649,-73.35,21.6,17.85,-4.08,-2.57,-8.57,-0.1374,-0.0305,0.0829,20.5,22.5,33.0,358.9375,-25.125,162.25,0
1776974411.96,9.6319,0.1245,3.383,0.8037,-0.3565,0.0935,-82.35,19.8,25.95,9.6103,0.4645,1.4198,0.8735,0.1628,0.2649,-73.35,21.6,17.85,-3.97,-2.56,-8.46,-0.1418,-0.024,0.0851,20.5,22.5,33.0,358.9375,-25.125,162.25,0
1776974411.968,9.3398,0.4884,3.043,0.5782,-0.3427,0.0978,-81.45,20.7,25.05,9.6103,0.4645,1.4198,0.7653,0.1434,0.2529,-72.9,22.95,18.45,-3.88,-2.8,-8.49,-0.1549,-0.0371,0.0949,20.5,22.5,33.0,359.0,-25.125,162.375,0
1776974411.973,9.2464,0.9481,2.9521,0.8428,-0.1569,0.1162,-81.45,20.7,25.05,9.8976,-0.103,1.4892,0.737,0.056,0.2451,-72.9,22.95,18.45,-3.88,-2.8,-8.49,-0.1549,-0.0371,0.0949,20.5,22.5,33.0,359.0,-25.1875,162.5,0
1776974411.98,9.2464,0.9481,2.9521,0.8428,-0.1569,0.1162,-81.45,20.7,25.05,9.8881,-0.5794,1.1444,0.623,0.0493,0.243,-73.05,22.5,18.3,-4.34,-2.21,-8.64,-0.1604,-0.0436,0.1025,20.5,22.5,33.0,359.0,-25.1875,162.5,0
1776974411.985,9.1243,1.3312,2.8347,1.141,-0.1092,0.1383,-82.35,21.0,24.45,9.8881,-0.5794,1.1444,0.623,0.0493,0.243,-74.55,22.5,17.85,-4.34,-2.21,-8.64,-0.1604,-0.0436,0.1025,20.875,22.0625,33.0,359.625,-25.1875,162.5625,0
