timestamp,thigh_acc_x,thigh_acc_y,thigh_acc_z,thigh_gyro_x,thigh_gyro_y,thigh_gyro_z,thigh_mag_x,thigh_mag_y,thigh_mag_z,shank_acc_x,shank_acc_y,shank_acc_z,shank_gyro_x,shank_gyro_y,shank_gyro_z,shank_mag_x,shank_mag_y,shank_mag_z,foot_acc_x,foot_acc_y,foot_acc_z,foot_gyro_x,foot_gyro_y,foot_gyro_z,foot_mag_x,foot_mag_y,foot_mag_z,foot_euler_x,foot_euler_y,foot_euler_z,perturbation_event
48.889,-9.7899,-0.3208,-0.7949,-0.0008,0.0322,0.0035,53.7,30.0,7.05,0.8021,-9.0285,-4.13,-0.008,0.0189,0.0053,-54.0,-25.5,-36.45,-9.81,-0.84,0.58,-0.0022,0.0011,0.0,9.25,-3.0625,1.5625,0.5625,-83.8125,5.0,0
48.895,-9.7899,-0.3208,-0.7949,-0.0075,0.0328,-0.0043,53.7,30.0,7.05,0.8021,-9.0285,-4.13,-0.0035,-0.0024,0.0056,-52.65,-25.05,-36.6,-9.77,-0.82,0.56,-0.0022,0.0011,0.0,9.25,-3.0625,1.5625,0.5625,-83.8125,5.0,0
48.905,-9.7971,-0.3831,-0.7709,-0.0149,0.0344,-0.0021,54.3,30.15,6.15,0.7542,-9.098,-4.1539,-0.0229,0.0075,0.0051,-53.25,-25.2,-36.0,-9.71,-0.84,0.63,-0.0022,0.012,0.0,9.25,-3.0625,1.5625,0.5625,-83.8125,5.0,0
48.914,-9.8162,-0.3831,-0.8045,-0.0037,0.037,-0.0027,54.3,30.15,6.15,0.8619,-9.0573,-4.1037,-0.0357,-0.0037,0.0187,-53.4,-25.35,-34.35,-9.81,-0.86,0.55,-0.0022,0.0022,-0.0033,9.25,-3.0625,1.5625,0.5625,-83.8125,5.0,0
48.924,-9.8067,-0.3735,-0.7183,-0.016,0.0312,-0.0024,53.55,31.65,6.9,0.7614,-9.0812,-4.1276,-0.0445,-0.0115,0.0187,-53.1,-24.6,-36.9,-9.74,-0.8,0.6,0.0,-0.0022,-0.0044,9.25,-3.0625,1.5625,0.5625,-83.8125,5.0,0
48.933,-9.821,-0.4525,-0.8212,-0.0064,0.0301,-0.0008,53.4,30.75,6.3,0.6584,-8.849,-4.1444,-0.0719,-0.032,0.0384,-53.7,-25.2,-36.75,-9.78,-0.81,0.57,0.0011,0.0022,0.0,9.25,-3.0625,1.5625,0.5625,-83.8125,5.0,0
48.938,-9.7468,-0.4118,-0.7614,-0.0064,0.0301,-0.0008,52.35,30.45,6.9,0.6369,-9.1482,-4.2593,-0.0719,-0.032,0.0384,-53.7,-25.2,-36.75,-9.78,-0.81,0.57,0.0011,0.0022,0.0,9.25,-3.0625,-0.25,0.5625,-83.8125,5.0,0
48.945,-9.7636,-0.3304,-0.8356,-0.0285,0.0163,0.0123,52.35,30.45,6.9,0.7374,-8.7915,-4.2066,-0.0501,0.0104,0.0272,-53.7,-24.75,-36.0,-9.8,-0.83,0.61,0.0022,-0.0033,0.0033,9.25,-3.0625,-0.25,0.5625,-83.8125,5.0,0
48.955,-9.8689,-0.3017,-0.7446,0.0064,0.0123,0.0091,52.65,31.5,5.7,0.6009,-8.9711,-4.1851,-0.0224,-0.0125,0.0072,-53.7,-25.95,-36.45,-9.73,-0.89,0.54,0.0044,-0.0098,0.0055,9.25,-3.0625,-0.25,0.5625,-83.8125,5.0,0
48.965,-9.7659,-0.3639,-0.7446,-0.0117,0.0211,0.0045,54.3,30.45,6.15,0.6225,-9.1889,-4.2689,-0.0125,0.0048,-0.0171,-54.15,-26.55,-36.6,-9.73,-0.73,0.59,0.0044,-0.0065,0.0065,9.25,-3.0625,-0.25,0.5625,-83.8125,5.0,0
