timestamp,thigh_acc_x,thigh_acc_y,thigh_acc_z,thigh_gyro_x,thigh_gyro_y,thigh_gyro_z,thigh_mag_x,thigh_mag_y,thigh_mag_z,shank_acc_x,shank_acc_y,shank_acc_z,shank_gyro_x,shank_gyro_y,shank_gyro_z,shank_mag_x,shank_mag_y,shank_mag_z,foot_acc_x,foot_acc_y,foot_acc_z,foot_gyro_x,foot_gyro_y,foot_gyro_z,foot_mag_x,foot_mag_y,foot_mag_z,foot_euler_x,foot_euler_y,foot_euler_z,perturbation_event
1776973761.152,12.9407,-2.636,4.1396,-0.652,-2.2322,-1.6984,-65.25,9.3,14.55,9.7923,-4.3359,3.4524,0.4786,1.5836,1.2207,-76.5,-6.45,26.7,-0.9,-5.93,-10.29,1.1846,-4.8422,2.5733,47.0625,33.1875,35.25,338.0625,-80.0625,157.625,0
1776973761.161,12.5432,-3.0023,4.6807,-1.1122,-1.9031,-1.6321,-65.25,9.3,14.55,8.983,-4.7908,4.0223,0.6755,1.5412,0.8945,-76.5,-6.45,26.7,0.88,-4.94,-8.29,1.0636,-4.5804,2.6834,47.0625,33.1875,35.25,338.0625,-80.0625,157.625,0
1776973761.171,11.5305,-2.8946,4.9752,-1.2079,-1.5396,-1.5617,-63.75,8.7,12.9,8.9256,-6.1651,5.7269,0.8607,1.218,0.5993,-73.95,-6.6,27.0,2.43,-1.62,-7.75,0.9665,-4.5804,2.8013,47.0625,33.1875,35.25,337.0,-82.9375,160.8125,0
1776973761.176,10.5704,-1.7334,4.7381,-0.8775,-1.4282,-1.5583,-63.75,8.7,12.9,7.9176,-6.778,7.8817,1.1002,0.8292,0.4954,-73.95,-6.6,27.0,2.43,-1.62,-7.75,0.9665,-4.5804,2.8013,47.0625,33.1875,35.25,337.0,-82.9375,160.8125,0
1776973761.181,10.5704,-1.7334,4.7381,-0.8775,-1.4282,-1.5583,-63.75,8.7,12.9,7.9176,-6.778,7.8817,1.1002,0.8292,0.4954,-73.2,-7.8,27.3,-14.34,-0.06,-9.29,0.9163,-4.6317,3.0652,55.5,30.1875,20.75,335.75,-85.875,179.3125,0
1776973761.186,10.0556,-0.9313,3.8235,-0.8583,-1.3582,-1.5404,-63.75,8.7,12.9,6.699,-7.865,9.0237,0.9944,0.5231,0.4205,-73.2,-7.8,27.3,-14.34,-0.06,-9.29,0.9163,-4.6317,3.0652,55.5,30.1875,20.75,335.75,-85.875,179.3125,0
1776973761.191,10.0556,-0.9313,3.8235,-0.8583,-1.3582,-1.5404,-64.05,8.7,12.9,6.699,-7.865,9.0237,0.9944,0.5231,0.4205,-74.55,-6.75,27.45,-11.35,-7.41,-11.01,1.1705,-3.6346,2.9747,55.5,30.1875,20.75,334.8125,-87.75,-179.0,0
1776973761.197,10.1945,-0.7853,1.2043,-1.2223,-1.3131,-1.4338,-64.05,8.7,10.8,4.7357,-7.2065,10.0173,0.9406,0.263,0.2222,-72.0,-6.9,27.75,-5.81,-9.66,-12.28,1.7835,-0.8923,2.0246,55.5,30.1875,20.75,334.6875,-87.375,-177.9375,0
1776973761.202,10.1945,-0.7853,1.2043,-1.2223,-1.3131,-1.4338,-63.15,11.55,10.95,4.446,-5.0422,8.0924,0.3757,-0.0216,-0.0453,-72.0,-6.9,27.75,-5.81,-9.66,-12.28,1.7835,-0.8923,2.0246,55.5,30.1875,20.75,335.125,-86.5,-177.375,0
1776973761.211,11.2839,-0.4477,0.7422,-1.0786,-1.356,-1.4759,-63.0,10.2,11.1,4.3694,-3.3255,6.2201,0.3757,-0.0216,-0.0453,-74.55,-6.45,26.7,-5.09,-9.89,-10.93,1.7868,1.2097,1.0374,55.5,30.1875,20.75,335.125,-86.5,-177.375,0
1776973761.221,11.1187,0.8428,1.9034,-0.7139,-1.4448,-1.5695,-62.1,10.05,9.15,4.5203,-2.7725,4.9057,-0.6107,-0.3802,-0.4247,-74.1,-6.0,26.4,-0.28,-7.9,-6.8,1.3461,2.3507,0.3469,55.5,30.1875,20.75,335.6875,-85.4375,-177.1875,0
1776973761.226,10.2544,2.7701,2.478,-0.2702,-1.2041,-1.6089,-62.1,10.05,9.15,4.5203,-2.7725,4.9057,-1.255,-0.481,-0.8148,-74.1,-6.0,26.4,-0.28,-7.9,-6.8,1.3461,2.3507,0.3469,55.5,30.1875,20.75,335.6875,-85.4375,-177.1875,0
1776973761.231,10.2544,2.7701,2.478,-0.2702,-1.2041,-1.6089,-61.65,10.8,10.65,4.118,-2.7485,4.3622,-1.255,-0.481,-0.8148,-74.1,-6.0,26.4,0.34,-6.74,-5.41,0.8127,2.8678,-0.1124,57.875,24.1875,11.0,336.125,-84.125,-177.3125,0
1776973761.235,10.1514,3.541,2.0016,-0.0152,-1.096,-1.627,-61.65,10.8,10.65,4.118,-2.7485,4.3622,-1.1895,-0.6901,-1.0563,-74.1,-6.0,26.4,0.34,-6.74,-5.41,0.8127,2.8678,-0.1124,57.875,24.1875,11.0,336.125,-84.125,-177.3125,0
1776973761.241,10.1514,3.541,2.0016,-0.0152,-1.096,-1.627,-61.65,10.8,10.65,3.893,-2.8012,3.5506,-0.8527,-0.9603,-1.2388,-72.9,-4.2,24.75,0.57,-5.97,-4.59,0.2923,3.0947,-0.48,57.875,24.1875,11.0,336.5,-82.625,-161.0625,0
1776973761.245,9.8378,3.5291,1.2833,0.1428,-0.8729,-1.68,-61.65,10.8,10.65,3.893,-2.8012,3.5506,-0.8527,-0.9603,-1.2388,-72.9,-4.2,24.75,0.57,-5.97,-4.59,-0.1353,3.2518,-0.8563,57.875,24.1875,11.0,336.8125,-81.0,-167.5625,0
1776973761.252,9.8378,3.5291,1.2833,0.1428,-0.8729,-1.68,-59.1,10.5,9.9,3.6966,-3.1412,4.1635,-0.4847,-1.2705,-1.4248,-72.9,-4.2,24.75,0.8,-5.16,-3.55,-0.1353,3.2518,-0.8563,57.875,24.1875,11.0,337.125,-79.3125,-173.0,0
