timestamp,thigh_acc_x,thigh_acc_y,thigh_acc_z,thigh_gyro_x,thigh_gyro_y,thigh_gyro_z,thigh_mag_x,thigh_mag_y,thigh_mag_z,shank_acc_x,shank_acc_y,shank_acc_z,shank_gyro_x,shank_gyro_y,shank_gyro_z,shank_mag_x,shank_mag_y,shank_mag_z,foot_acc_x,foot_acc_y,foot_acc_z,foot_gyro_x,foot_gyro_y,foot_gyro_z,foot_mag_x,foot_mag_y,foot_mag_z,foot_euler_x,foot_euler_y,foot_euler_z,perturbation_event
1776971051.288,9.8976,-0.5267,0.5483,0.3994,-0.222,0.2814,-31.95,7.5,16.35,9.3446,-0.6105,1.5083,0.797,0.5817,0.7149,-85.05,-5.4,-18.75,6.65,-1.39,-7.25,0.048,-0.0338,0.0098,-27.6875,-4.0625,30.25,96.875,40.3125,170.9375,0
1776971051.297,10.0317,-0.431,0.4334,0.3762,-0.2598,0.2806,-31.95,7.5,16.35,9.5624,0.0168,1.8004,0.5268,0.5564,0.7416,-84.15,-6.9,-19.2,6.64,-1.4,-7.31,0.0469,-0.0469,0.0185,-27.6875,-4.0625,30.25,96.875,40.3125,170.9375,0
1776971051.303,10.0317,-0.431,0.4334,0.3762,-0.2598,0.2806,-31.95,7.5,16.35,9.5624,0.0168,1.8004,0.3491,0.4386,0.7815,-84.15,-6.9,-19.2,6.56,-1.3,-7.35,0.0611,-0.0524,0.012,-27.6875,-4.0625,30.25,96.875,40.3125,170.9375,0
1776971051.308,10.0078,-0.4429,0.2394,0.3483,-0.2902,0.292,-32.25,9.0,17.7,9.3948,0.5435,2.2003,0.2076,0.4735,0.8316,-83.85,-5.4,-20.25,6.56,-1.3,-7.35,0.0611,-0.0524,0.012,-27.6875,-4.0625,30.25,96.875,40.3125,170.9375,0
1776971051.313,10.0078,-0.4429,0.2394,0.3483,-0.2902,0.292,-32.25,9.0,17.7,9.3948,0.5435,2.2003,0.2076,0.4735,0.8316,-83.85,-5.4,-20.25,6.54,-1.34,-7.31,0.0676,-0.0862,0.0207,-27.25,-3.75,29.1875,96.875,40.25,170.875,0
1776971051.318,9.9479,-0.4334,0.1604,0.3126,-0.3144,0.3099,-32.85,6.45,17.85,9.3613,1.0822,2.2075,0.1908,0.4983,0.8625,-84.0,-6.75,-19.35,6.54,-1.34,-7.31,0.0676,-0.0862,0.0207,-27.25,-3.75,29.1875,96.875,40.25,170.875,0
1776971051.323,9.9479,-0.4334,0.1604,0.3126,-0.3144,0.3099,-32.85,6.45,17.85,9.3613,1.0822,2.2075,0.1908,0.4983,0.8625,-84.0,-6.75,-19.35,6.54,-1.34,-7.31,0.06,-0.0785,0.0229,-27.25,-3.75,29.1875,96.875,40.25,170.8125,0
1776971051.328,9.8402,-0.2753,0.1197,0.2979,-0.3208,0.3376,-32.85,7.65,16.5,9.2656,1.2737,2.0159,0.194,0.5191,0.8841,-84.0,-6.75,-19.35,6.61,-1.32,-7.3,0.06,-0.0785,0.0229,-27.25,-3.75,29.1875,96.875,40.25,170.8125,0
1776971051.333,9.8402,-0.2753,0.1197,0.2979,-0.3208,0.3376,-32.85,7.65,16.5,9.2656,1.2737,2.0159,0.194,0.5191,0.8841,-84.0,-6.75,-19.35,6.61,-1.32,-7.3,0.0502,-0.072,0.0207,-27.25,-3.75,29.1875,96.875,40.1875,170.75,0
1776971051.338,9.8426,0.0646,0.0503,0.284,-0.3344,0.3736,-32.25,7.05,17.4,9.4068,1.3455,1.8292,0.1402,0.526,0.894,-84.0,-6.75,-20.1,6.61,-1.39,-7.3,0.0502,-0.072,0.0207,-27.25,-3.75,29.1875,96.875,40.1875,170.75,0
1776971051.347,9.7875,0.2993,-0.1413,0.2942,-0.3475,0.4032,-32.25,7.05,17.4,9.3709,1.4269,1.731,0.06,0.481,0.8703,-83.1,-7.8,-18.75,6.56,-1.34,-7.37,0.0535,-0.0873,0.0175,-27.25,-3.75,29.1875,96.875,40.1875,170.75,0
1776971051.352,9.7875,0.2993,-0.1413,0.2942,-0.3475,0.4032,-32.25,7.05,17.4,9.3709,1.4269,1.731,0.06,0.481,0.8703,-83.1,-7.8,-18.75,6.56,-1.34,-7.37,0.0491,-0.0796,0.0044,-27.25,-3.75,29.1875,96.8125,40.125,170.6875,0
1776971051.358,9.9503,0.3328,-0.1437,0.344,-0.3571,0.4293,-30.45,7.8,15.9,9.3422,1.5203,1.7358,0.0037,0.4271,0.8617,-85.8,-8.1,-19.2,6.62,-1.28,-7.34,0.0491,-0.0796,0.0044,-27.25,-3.75,29.1875,96.8125,40.125,170.6875,0
1776971051.363,9.7013,0.4022,-0.3783,0.3523,-0.3691,0.4543,-30.75,6.75,17.1,9.3422,1.5203,1.7358,0.0037,0.4271,0.8617,-85.8,-8.1,-19.2,6.61,-1.25,-7.31,0.0436,-0.0829,0.0022,-27.0,-4.0625,30.375,96.8125,40.0625,170.6875,0
1776971051.368,9.7013,0.4022,-0.3783,0.3523,-0.3691,0.4543,-30.75,6.75,17.1,9.4403,1.549,1.7957,0.0056,0.3469,0.8655,-83.25,-8.7,-18.3,6.61,-1.25,-7.31,0.0436,-0.0829,0.0022,-27.0,-4.0625,30.375,96.8125,40.0625,170.6875,0
1776971051.373,9.6798,0.0934,-0.7302,0.3536,-0.3597,0.493,-33.0,5.25,16.65,9.4403,1.549,1.7957,0.0056,0.3469,0.8655,-83.25,-8.7,-18.3,6.61,-1.25,-7.31,0.0415,-0.0894,0.0044,-27.0,-4.0625,30.375,96.8125,40.0625,170.625,0
1776971051.378,9.6798,0.0934,-0.7302,0.3536,-0.3597,0.493,-33.0,5.25,16.65,9.4858,1.5874,1.7382,0.1196,0.2214,0.8713,-83.1,-9.3,-18.75,6.61,-1.32,-7.33,0.0415,-0.0894,0.0044,-27.0,-4.0625,30.375,96.8125,40.0625,170.625,0
1776971051.383,9.6103,0.0263,-0.9601,0.3349,-0.34,0.5401,-31.65,5.7,14.7,9.4858,1.5874,1.7382,0.1196,0.2214,0.8713,-83.1,-9.3,-18.75,6.61,-1.32,-7.33,0.0436,-0.1124,0.0076,-27.0,-4.0625,30.375,96.8125,40.0,170.625,0
1776971051.388,9.6103,0.0263,-0.9601,0.3349,-0.34,0.5401,-31.65,5.7,14.7,9.3111,1.3144,1.7047,0.1375,0.2542,0.8934,-84.6,-9.3,-17.4,6.51,-1.33,-7.32,0.0436,-0.1124,0.0076,-27.0,-4.0625,30.375,96.8125,40.0,170.625,0
1776971051.397,9.7755,0.498,-1.1732,0.2958,-0.3224,0.595,-32.85,7.2,14.4,9.4786,1.47,1.4341,0.2507,0.1719,0.9265,-84.6,-9.3,-17.4,6.55,-1.3,-7.34,0.0404,-0.132,0.0109,-27.0,-4.0625,30.375,96.8125,39.9375,170.625,0
1776971051.402,9.8402,0.8715,-1.4485,0.2758,-0.3128,0.6475,-32.85,7.2,14.4,9.4786,1.47,1.4341,0.2507,0.1719,0.9265,-84.6,-9.3,-17.4,6.55,-1.3,-7.34,0.0316,-0.1233,0.0142,-27.0,-4.0625,30.375,96.8125,39.875,170.5625,0
1776971051.408,9.8402,0.8715,-1.4485,0.2758,-0.3128,0.6475,-32.85,7.2,14.4,9.7133,1.664,1.2163,0.3661,0.0861,0.9569,-83.1,-10.5,-18.75,6.56,-1.43,-7.37,0.0316,-0.1233,0.0142,-27.0,-4.0625,30.375,96.8125,39.875,170.5625,0
1776971051.413,10.0772,1.573,-1.6999,0.2814,-0.2862,0.7208,-31.5,4.8,15.3,10.0916,2.0375,0.929,0.4311,-0.028,0.9467,-83.1,-10.5,-18.75,6.56,-1.43,-7.37,0.0316,-0.1233,0.0142,-27.6875,-4.5,31.5,96.8125,39.8125,170.5625,0
1776971051.418,10.0772,1.573,-1.6999,0.2814,-0.2862,0.7208,-31.5,4.8,15.3,10.0916,2.0375,0.929,0.4311,-0.028,0.9467,-83.1,-10.5,-18.75,6.58,-1.28,-7.39,0.0305,-0.1374,0.0142,-27.6875,-4.5,31.5,96.8125,39.8125,170.5625,0
1776971051.423,10.3142,1.7166,-2.2577,0.2593,-0.2574,0.7946,-31.65,5.7,15.45,10.5919,2.2745,0.6416,0.4538,-0.1516,0.9009,-83.1,-10.5,-18.75,6.58,-1.28,-7.39,0.0305,-0.1374,0.0142,-27.6875,-4.5,31.5,96.75,39.75,170.5625,0
1776971051.428,10.3142,1.7166,-2.2577,0.2593,-0.2574,0.7946,-31.65,5.7,15.45,10.5919,2.2745,0.6416,0.4538,-0.1516,0.9009,-82.35,-9.0,-18.0,6.47,-1.34,-7.54,0.0327,-0.1374,0.0033,-27.6875,-4.5,31.5,96.75,39.75,170.5625,0
1776971051.433,10.4962,1.3791,-3.1196,0.1956,-0.2172,0.8825,-30.6,5.7,15.45,10.9032,2.4493,0.2921,0.506,-0.291,0.8383,-82.35,-9.0,-18.0,6.47,-1.34,-7.54,0.0393,-0.1789,0.0011,-27.6875,-4.5,31.5,96.75,39.625,170.5,0
1776971051.438,10.4962,1.3791,-3.1196,0.1956,-0.2172,0.8825,-30.6,5.7,15.45,10.9032,2.4493,0.2921,0.506,-0.291,0.8383,-82.65,-12.0,-16.95,6.55,-1.33,-7.63,0.0393,-0.1789,0.0011,-27.6875,-4.5,31.5,96.75,39.5,170.5,0
1776971051.447,10.0724,1.0678,-3.4812,0.0597,-0.1761,0.987,-31.5,5.25,14.85,11.0014,2.4708,-0.1389,0.5524,-0.4045,0.7426,-82.5,-11.1,-17.1,6.4,-1.01,-7.93,0.0371,-0.2334,0.0011,-27.6875,-4.5,31.5,96.75,39.5,170.5,0
1776971051.457,9.8162,0.6991,-3.9002,-0.1833,-0.1242,1.1088,-30.15,4.05,15.3,11.0684,2.2889,-0.8045,0.6299,-0.4871,0.6358,-81.15,-11.7,-19.2,6.39,-0.95,-7.54,0.0654,-0.3174,-0.012,-27.6875,-4.5,31.5,96.6875,39.375,170.5,0
1776971051.462,9.5529,0.431,-4.6136,-0.4471,-0.0474,1.2073,-30.15,4.05,15.3,11.133,1.9321,-1.5826,0.7288,-0.5865,0.5399,-81.15,-11.7,-19.2,6.39,-0.95,-7.54,0.0654,-0.3174,-0.012,-27.6875,-4.5,31.5,96.6875,39.375,170.5,0
1776971051.467,9.5529,0.431,-4.6136,-0.4471,-0.0474,1.2073,-30.15,4.05,15.3,11.133,1.9321,-1.5826,0.7288,-0.5865,0.5399,-82.5,-12.3,-18.6,6.35,-1.34,-7.6,0.1047,-0.3676,0.0153,-26.5625,-4.5,29.875,96.6875,39.125,170.5,0
1776971051.472,9.7516,0.0335,-5.0757,-0.6696,0.0309,1.2921,-31.05,3.45,15.45,11.3222,1.6305,-2.2865,0.809,-0.741,0.4562,-82.5,-12.3,-18.6,6.35,-1.34,-7.6,0.1047,-0.3676,0.0153,-26.5625,-4.5,29.875,96.6875,39.125,170.5,0
1776971051.477,9.7516,0.0335,-5.0757,-0.6696,0.0309,1.2921,-31.05,3.45,15.45,11.3222,1.6305,-2.2865,0.809,-0.741,0.4562,-82.35,-11.25,-19.2,5.96,-1.36,-7.83,0.1254,-0.4374,0.0164,-26.5625,-4.5,29.875,96.625,38.9375,170.4375,0
1776971051.482,10.0868,0.3328,-4.4532,-0.8364,0.11,1.3704,-29.1,3.15,15.45,11.5329,1.1516,-2.8946,0.7954,-0.959,0.389,-82.35,-11.25,-19.2,5.96,-1.36,-7.83,0.2073,-0.5552,-0.0229,-26.5625,-4.5,29.875,96.5625,38.625,170.375,0
1776971051.488,10.0868,0.3328,-4.4532,-0.8364,0.11,1.3704,-29.1,3.15,15.45,11.5329,1.1516,-2.8946,0.7954,-0.959,0.389,-82.35,-11.25,-19.2,5.78,-2.42,-7.76,0.2073,-0.5552,-0.0229,-26.5625,-4.5,29.875,96.5,38.3125,170.3125,0
1776971051.497,10.3166,1.0008,-4.7812,-1.003,0.2289,1.4381,-30.15,1.8,14.25,11.5855,1.0271,-3.225,0.7144,-1.2244,0.328,-81.15,-12.9,-18.75,6.07,-1.15,-7.88,0.2411,-0.5738,-0.0404,-26.5625,-4.5,29.875,96.5,38.3125,170.3125,0
1776971051.507,10.1155,1.5897,-4.3287,-0.984,0.3086,1.4538,-28.8,3.15,13.95,11.3749,1.0175,-3.3639,0.5953,-1.4858,0.2539,-81.15,-12.9,-18.75,6.55,-0.6,-8.18,0.1211,-0.4385,-0.0131,-26.5625,-4.5,29.875,96.4375,38.0625,170.25,0
1776971051.512,10.2256,1.7741,-3.5099,-0.7783,0.3778,1.4605,-28.8,3.15,13.95,11.2815,1.0271,-3.1627,0.5193,-1.6745,0.1998,-81.15,-12.9,-18.75,6.55,-0.6,-8.18,0.1211,-0.4385,-0.0131,-26.5625,-4.5,29.875,96.4375,37.875,170.25,0
1776971051.517,10.2256,1.7741,-3.5099,-0.7783,0.3778,1.4605,-28.8,3.15,13.95,10.817,1.1372,-2.6025,0.5193,-1.6745,0.1998,-81.3,-11.4,-18.75,5.94,0.78,-9.27,0.084,-0.3807,0.0338,-27.25,-3.75,31.875,96.4375,37.875,170.25,0
1776971051.522,10.6063,2.0494,-2.8156,-0.5926,0.4842,1.4671,-28.05,2.4,14.4,10.817,1.1372,-2.6025,0.453,-1.7232,0.1644,-81.3,-11.4,-21.9,5.94,0.78,-9.27,0.084,-0.3807,0.0338,-27.25,-3.75,31.875,96.4375,37.75,170.125,0
1776971051.527,10.5752,2.0518,-2.2122,-0.4093,0.5436,1.4194,-28.05,2.4,14.4,10.8912,1.3336,-2.15,0.453,-1.7232,0.1644,-81.3,-11.4,-21.9,6.55,1.21,-9.14,0.1724,-0.18,0.1353,-27.25,-3.75,31.875,96.4375,37.75,170.125,0
1776971051.534,10.5752,2.0518,-2.2122,-0.4093,0.5436,1.4194,-30.15,0.3,14.25,10.8912,1.3336,-2.15,0.5721,-1.853,0.1199,-81.15,-12.45,-21.75,7.46,3.67,-10.13,0.4614,0.4985,0.3163,-27.25,-3.75,31.875,96.5625,38.0,169.6875,0
1776971051.539,10.7811,2.0614,-2.0087,-0.1815,0.6187,1.3627,-30.15,0.3,14.25,10.6255,1.312,-1.4006,0.6603,-1.8623,0.0855,-81.0,-13.05,-21.9,7.46,3.67,-10.13,0.4614,0.4985,0.3163,-27.25,-3.75,31.875,96.625,38.125,168.8125,0
1776971051.548,10.4579,1.8723,-1.0463,0.0069,0.6467,1.3225,-29.1,0.45,16.2,10.3094,1.3695,-0.7853,0.724,-1.7853,0.0711,-81.0,-13.05,-21.9,7.98,-0.66,-5.35,1.0821,0.3938,0.4472,-27.25,-3.75,31.875,96.625,38.125,168.8125,0
1776971051.558,10.1251,1.5419,-0.3711,0.259,0.7107,1.2729,-28.2,-0.3,15.3,10.3166,1.8411,-0.4166,0.805,-1.797,0.0413,-80.4,-13.65,-21.75,10.47,-0.7,-10.14,2.1195,-0.7439,0.1309,-27.25,-3.75,31.875,96.25,37.75,167.6875,0
1776971051.562,10.1251,1.5419,-0.3711,0.259,0.7107,1.2729,-28.5,0.15,17.25,10.3166,1.8411,-0.4166,0.805,-1.797,0.0413,-80.4,-13.65,-21.75,10.47,-0.7,-10.14,2.1195,-0.7439,0.1309,-27.25,-3.75,31.875,96.5625,37.1875,166.0,0
