timestamp,thigh_acc_x,thigh_acc_y,thigh_acc_z,thigh_gyro_x,thigh_gyro_y,thigh_gyro_z,thigh_mag_x,thigh_mag_y,thigh_mag_z,shank_acc_x,shank_acc_y,shank_acc_z,shank_gyro_x,shank_gyro_y,shank_gyro_z,shank_mag_x,shank_mag_y,shank_mag_z,foot_acc_x,foot_acc_y,foot_acc_z,foot_gyro_x,foot_gyro_y,foot_gyro_z,foot_mag_x,foot_mag_y,foot_mag_z,foot_euler_x,foot_euler_y,foot_euler_z,perturbation_event
1776974256.121,9.7564,0.2322,1.1277,0.1492,-0.3613,-0.0618,-76.9500,8.1000,-8.8500,9.5600,1.9704,1.2426,0.2177,-0.0285,0.3094,-87.9000,7.8000,2.1000,-4.2500,-2.2700,-8.5600,-0.0011,0.0087,0.0033,-20.0000,3.8750,30.7500,197.9375,-25.8750,164.9375,0
1776974256.131,9.6798,0.3280,1.2163,0.1348,-0.3624,-0.0674,-76.5000,7.2000,-9.0000,9.7157,2.0542,1.2210,0.2529,-0.0506,0.3144,-90.0000,6.0000,0.0000,-4.2400,-2.2800,-8.6100,-0.0033,0.0087,0.0022,-20.0000,3.8750,30.7500,197.9375,-25.8750,164.9375,0
1776974256.140,9.7181,0.4166,1.1732,0.1308,-0.3818,-0.0706,-76.9500,5.8500,-9.6000,9.3685,2.0399,1.4844,0.3800,0.0139,0.3107,-90.0000,4.8000,0.3000,-4.2400,-2.3000,-8.5600,-0.0033,0.0120,-0.0022,-20.0000,3.8750,30.7500,197.9375,-25.8750,164.9375,0
1776974256.145,9.7636,0.4405,1.3192,0.1561,-0.3984,-0.0794,-76.9500,5.8500,-9.6000,9.3685,2.0399,1.4844,0.3800,0.0139,0.3107,-90.0000,4.8000,0.3000,-4.2400,-2.3000,-8.5600,-0.0033,0.0120,-0.0022,-20.0000,3.8750,30.7500,197.9375,-25.8750,164.9375,0
1776974256.152,9.7348,0.4669,1.1444,0.1932,-0.4325,-0.0847,-75.1500,6.1500,-9.6000,9.6606,1.9680,1.3551,0.3714,0.0325,0.3171,-89.7000,5.2500,-1.0500,-4.2200,-2.2800,-8.5700,-0.0022,0.0142,-0.0022,-20.0000,3.8750,30.7500,197.9375,-25.8750,164.9375,0
1776974256.157,9.7348,0.4669,1.1444,0.1932,-0.4325,-0.0847,-75.1500,6.1500,-9.6000,9.6606,1.9680,1.3551,0.3714,0.0325,0.3171,-89.7000,5.2500,-1.0500,-4.2200,-2.2800,-8.5700,-0.0022,0.0142,-0.0033,-20.6875,4.2500,32.3750,197.9375,-25.8750,164.9375,0
1776974256.162,9.8545,0.1891,1.1085,0.2052,-0.4533,-0.0845,-75.4500,6.6000,-11.1000,9.7013,1.8579,1.3240,0.3619,-0.0432,0.3203,-89.4000,4.9500,-1.5000,-4.2200,-2.2700,-8.5500,-0.0022,0.0142,-0.0033,-20.6875,4.2500,32.3750,197.9375,-25.8750,164.9375,0
1776974256.172,9.7827,0.1532,1.2186,0.2180,-0.4671,-0.1100,-75.4500,6.9000,-9.9000,9.5864,1.5921,1.4269,0.3174,-0.0807,0.3320,-88.8000,3.9000,-0.4500,-4.2100,-2.3200,-8.5600,-0.0033,0.0153,-0.0044,-20.6875,4.2500,32.3750,197.9375,-25.8750,164.9375,0
1776974256.181,9.7516,0.0551,1.1540,0.2049,-0.4916,-0.1103,-75.4500,6.9000,-9.9000,9.4499,1.4988,1.3360,0.3336,-0.1375,0.3368,-87.4500,5.2500,0.3000,-4.2400,-2.2500,-8.6100,-0.0044,0.0185,-0.0055,-20.6875,4.2500,32.3750,197.9375,-25.8750,164.9375,0
1776974256.190,9.7061,0.1245,1.0032,0.2049,-0.4916,-0.1103,-75.4500,6.9000,-11.1000,9.5074,1.5012,1.3312,0.3643,-0.1927,0.3520,-87.4500,5.2500,0.3000,-4.2600,-2.2400,-8.5800,-0.0022,0.0229,-0.0055,-20.6875,4.2500,32.3750,197.9375,-25.8750,164.9375,0
