timestamp,thigh_acc_x,thigh_acc_y,thigh_acc_z,thigh_gyro_x,thigh_gyro_y,thigh_gyro_z,thigh_mag_x,thigh_mag_y,thigh_mag_z,shank_acc_x,shank_acc_y,shank_acc_z,shank_gyro_x,shank_gyro_y,shank_gyro_z,shank_mag_x,shank_mag_y,shank_mag_z,foot_acc_x,foot_acc_y,foot_acc_z,foot_gyro_x,foot_gyro_y,foot_gyro_z,foot_mag_x,foot_mag_y,foot_mag_z,foot_euler_x,foot_euler_y,foot_euler_z,perturbation_event
1776971924.940,8.4300,0.8164,-0.5986,0.9222,-0.7298,-1.5759,-88.9500,9.1500,-1.6500,9.9192,-2.7725,-2.3511,1.1594,-2.2084,0.4583,14.8500,18.0000,-177.0000,11.1600,3.1500,-6.3300,0.9098,3.3445,1.6155,-25.6875,-11.5000,16.0625,164.9375,65.8750,-171.5625,0
1776971924.949,8.7101,1.1899,0.1341,1.1948,-0.5860,-1.6188,-88.9500,9.1500,-1.6500,9.5217,-3.9672,-2.2218,1.4280,-2.2284,0.5494,14.8500,18.0000,-177.0000,12.1900,1.7200,-7.0100,1.0417,3.3390,1.8075,-25.6875,-11.5000,16.0625,164.9375,65.8750,-171.5625,0
1776971924.959,9.1506,1.4892,0.4501,1.5172,-0.4655,-1.6174,-88.9500,10.6500,-1.2000,9.3326,-4.1851,-3.4093,1.3065,-2.4501,0.7322,18.1500,18.7500,-178.0500,10.4500,2.4200,-4.2000,1.0047,3.2169,1.9515,-25.6875,-11.5000,16.0625,162.8750,67.7500,-174.0625,0
1776971924.964,9.2847,2.0111,0.3448,1.5172,-0.4655,-1.6174,-88.9500,10.6500,-1.2000,8.5976,-5.6551,-4.2425,1.2103,-2.6073,0.7719,18.1500,18.7500,-178.0500,10.4500,2.4200,-4.2000,1.0047,3.2169,1.9515,-25.6875,-11.5000,16.0625,161.0000,69.6875,-177.1250,0
1776971924.969,9.2847,2.0111,0.3448,1.5902,-0.2625,-1.5913,-88.9500,10.6500,-1.2000,8.5976,-5.6551,-4.2425,1.2103,-2.6073,0.7719,19.6500,13.2000,-177.4500,14.2400,3.0800,-7.4300,0.7745,3.3696,2.0671,-29.3750,-10.3750,10.1875,161.0000,69.6875,-177.1250,0
1776971924.974,9.7995,2.1069,0.8404,1.5505,-0.0829,-1.5527,-88.9500,10.6500,-1.2000,8.1618,-6.9456,-5.2289,1.0038,-2.7368,0.7144,19.6500,13.2000,-177.4500,14.2400,3.0800,-7.4300,0.7745,3.3696,2.0671,-29.3750,-10.3750,10.1875,159.4375,71.4375,179.3125,0
1776971924.979,9.7995,2.1069,0.8404,1.5505,-0.0829,-1.5527,-88.3500,13.9500,-2.5500,8.1618,-6.9456,-5.2289,1.0038,-2.7368,0.7144,20.1000,5.4000,-175.3500,15.7600,3.7100,-7.3600,0.4560,3.1176,2.1206,-29.3750,-10.3750,10.1875,159.4375,71.4375,179.3125,0
1776971924.986,10.5632,1.7142,0.9266,1.6710,0.0277,-1.4743,-88.3500,13.9500,-2.5500,8.6191,-7.4412,-4.9057,0.8982,-2.6684,0.6627,20.1000,5.4000,-175.3500,14.5100,4.7400,-6.8900,0.3054,2.6573,2.2580,-29.3750,-10.3750,10.1875,158.0000,72.8750,175.0625,0
1776971924.991,10.5632,1.7142,0.9266,1.6710,0.0277,-1.4743,-86.8500,15.1500,-3.6000,7.7285,-7.9009,-4.9871,0.8881,-2.5250,0.6403,20.7000,-0.7500,-172.3500,14.5100,4.7400,-6.8900,0.3054,2.6573,2.2580,-29.3750,-10.3750,10.1875,156.3125,73.8125,169.6875,0
1776971925.000,10.9870,1.3958,0.6991,1.7997,0.1103,-1.4226,-87.4500,15.7500,-1.9500,7.2233,-7.6495,-5.2481,0.8266,-2.4291,0.5316,19.2000,-7.5000,-167.4000,13.8000,3.7700,-7.7500,0.5454,2.0300,2.4762,-29.3750,-10.3750,10.1875,156.3125,73.8125,169.6875,0
1776971925.010,11.2312,1.0080,0.8236,1.8095,0.1282,-1.4061,-87.7500,15.7500,-3.7500,5.5186,-7.1898,-5.4779,0.7027,-2.6430,0.5095,19.2000,-7.5000,-167.4000,11.7700,4.3100,-8.8500,0.8628,1.5010,2.4249,-29.3750,-10.3750,10.1875,154.3750,74.3125,163.9375,0
1776971925.015,11.3940,0.5243,0.9194,1.8053,0.1316,-1.4157,-87.7500,15.7500,-3.7500,5.5186,-7.1898,-5.4779,0.7027,-2.6430,0.5095,19.2000,-7.5000,-167.4000,11.7700,4.3100,-8.8500,0.8628,1.5010,2.4249,-29.3750,-10.3750,10.1875,152.2500,74.1875,158.7500,0
1776971925.020,11.3940,0.5243,0.9194,1.8053,0.1316,-1.4157,-87.4500,16.5000,-4.2000,3.7469,-7.6040,-4.3790,0.8308,-2.2636,0.2577,15.9000,-26.2500,-154.5000,9.4500,7.3300,-10.2300,1.2512,0.4931,2.2526,-33.0625,-6.0000,5.6875,152.2500,74.1875,158.7500,0
1776971925.025,11.3701,0.0814,1.2498,1.8421,0.1828,-1.4445,-87.4500,16.5000,-4.2000,3.7469,-7.6040,-4.3790,0.8308,-2.2636,0.2577,15.9000,-26.2500,-154.5000,9.4500,7.3300,-10.2300,1.2512,0.4931,2.2526,-33.0625,-6.0000,5.6875,149.5000,73.7500,154.3125,0
1776971925.030,11.3701,0.0814,1.2498,1.8421,0.1828,-1.4445,-85.0500,18.0000,-4.8000,3.2130,-5.1739,-3.5506,1.0328,-1.9023,-0.2364,13.3500,-33.0000,-145.6500,15.4400,9.0900,-11.8300,2.4587,-0.1124,1.7693,-33.0625,-6.0000,5.6875,149.5000,73.7500,154.3125,0
1776971925.035,11.5257,-0.1844,1.5850,1.8953,0.2673,-1.4512,-85.0500,18.0000,-4.8000,3.2130,-5.1739,-3.5506,1.0328,-1.9023,-0.2364,13.3500,-33.0000,-145.6500,15.4400,9.0900,-11.8300,2.5525,-1.0385,0.9883,-33.0625,-6.0000,5.6875,147.0625,72.9375,152.1250,0
1776971925.041,11.5760,-0.7230,1.6831,1.8953,0.2673,-1.4512,-85.0500,18.0000,-4.8000,3.8810,-3.0670,-4.9967,1.1418,-2.3489,-0.3107,9.6000,-39.9000,-138.3000,9.5500,8.3600,-12.5300,2.5525,-1.0385,0.9883,-33.0625,-6.0000,5.6875,144.7500,72.0000,151.2500,0
1776971925.050,11.2168,0.1772,1.5706,1.8794,0.3704,-1.4317,-86.7000,20.1000,-3.7500,2.9042,-2.4948,-4.1635,1.7557,-1.5609,-0.6294,5.7000,-44.5500,-132.4500,1.4800,5.7500,-6.5300,2.5984,-1.6428,0.5127,-33.0625,-6.0000,5.6875,144.7500,72.0000,151.2500,0
1776971925.060,10.7236,0.4525,1.4485,1.8066,0.4698,-1.4165,-86.7000,20.1000,-3.7500,1.6999,-1.5610,-5.2289,2.2761,-1.4919,-0.8740,6.6000,-46.6500,-125.1000,0.1500,4.4100,-5.1500,2.5362,-1.6112,0.2793,-33.0625,-6.0000,5.6875,142.5625,71.1875,150.7500,0
1776971925.065,10.7236,0.4525,1.4485,1.7501,0.5481,-1.4115,-86.7000,20.1000,-3.7500,1.6999,-1.5610,-5.2289,2.2761,-1.4919,-0.8740,6.6000,-46.6500,-125.1000,0.1500,4.4100,-5.1500,2.5362,-1.6112,0.2793,-33.0625,-6.0000,5.6875,142.5625,71.1875,150.7500,0
1776971925.070,10.3789,0.9888,1.0534,1.7501,0.5481,-1.4115,-85.2000,21.3000,-6.4500,1.4030,-2.2122,-6.1411,2.9004,-0.6747,-1.3249,6.6000,-46.6500,-125.1000,0.5400,3.4600,-5.1100,2.3464,-1.3166,0.1309,-37.5625,0.2500,5.2500,140.5625,70.5000,150.3125,0
1776971925.075,10.3789,0.9888,1.0534,1.6878,0.6595,-1.3646,-85.2000,21.3000,-6.4500,1.4030,-2.2122,-6.1411,2.9004,-0.6747,-1.3249,6.6000,-46.6500,-125.1000,0.5400,3.4600,-5.1100,2.3464,-1.3166,0.1309,-37.5625,0.2500,5.2500,140.5625,70.5000,150.3125,0
1776971925.080,10.1083,1.4293,0.7518,1.6878,0.6595,-1.3646,-84.7500,22.8000,-6.0000,2.6312,-3.3112,-6.5194,3.2839,0.0562,-1.8658,4.9500,-53.5500,-121.0500,1.3200,3.6600,-5.4100,2.0737,-1.0996,-0.0982,-37.5625,0.2500,5.2500,138.9375,70.0000,150.1250,0
1776971925.086,10.1083,1.4293,0.7518,1.6459,0.7653,-1.3209,-84.7500,22.8000,-6.0000,2.6312,-3.3112,-6.5194,3.2839,0.0562,-1.8658,3.9000,-52.0500,-122.1000,4.3200,5.9300,-7.3000,1.8675,-1.0712,-0.3611,-37.5625,0.2500,5.2500,137.6250,69.5625,150.3750,0
1776971925.091,10.1203,2.3703,0.6057,1.6665,0.8823,-1.2812,-84.4500,21.3000,-5.7000,4.4700,-4.4532,-4.7453,3.3310,0.6504,-2.2164,3.9000,-52.0500,-122.1000,4.3200,5.9300,-7.3000,1.8675,-1.0712,-0.3611,-37.5625,0.2500,5.2500,136.4375,69.1875,151.0000,0
1776971925.100,10.1634,2.4852,0.5842,1.8058,0.9411,-1.2859,-83.4000,22.9500,-5.8500,6.2968,-4.9440,-3.3112,2.7779,0.7157,-2.2114,-0.4500,-48.4500,-120.9000,5.4200,6.8900,-7.6300,1.8555,-1.1999,-0.6272,-37.5625,0.2500,5.2500,136.4375,69.1875,151.0000,0
1776971925.110,10.0844,2.1117,0.6153,1.9883,0.9441,-1.3038,-83.7000,25.2000,-6.4500,6.4404,-5.3941,-2.4229,2.3209,0.2459,-2.1514,-1.8000,-44.5500,-119.2500,5.3800,7.0100,-7.0400,2.0148,-1.4726,-0.9152,-37.5625,0.2500,5.2500,135.1875,68.6875,152.0625,0
1776971925.115,10.0844,2.1117,0.6153,1.9883,0.9441,-1.3038,-83.7000,25.2000,-6.4500,6.4404,-5.3941,-2.4229,2.3209,0.2459,-2.1514,-3.4500,-43.2000,-117.3000,5.3800,7.0100,-7.0400,2.0148,-1.4726,-0.9152,-37.5625,0.2500,5.2500,135.1875,68.6875,152.0625,0
1776971925.120,10.1347,1.6664,0.7063,2.1381,0.9539,-1.3235,-82.2000,25.2000,-6.0000,5.0637,-5.4013,-2.4708,2.0651,-0.1018,-2.1464,-3.4500,-43.2000,-117.3000,5.1300,5.4800,-5.8000,2.2406,-1.7541,-1.1901,-41.6875,1.6875,10.1875,133.8750,68.1250,153.4375,0
1776971925.125,10.1347,1.6664,0.7063,2.1381,0.9539,-1.3235,-82.2000,25.2000,-6.0000,5.0637,-5.4013,-2.4708,2.0651,-0.1018,-2.1464,-3.4500,-43.2000,-117.3000,5.1300,5.4800,-5.8000,2.2406,-1.7541,-1.1901,-41.6875,1.6875,10.1875,133.8750,68.1250,153.4375,0
