timestamp,thigh_acc_x,thigh_acc_y,thigh_acc_z,thigh_gyro_x,thigh_gyro_y,thigh_gyro_z,thigh_mag_x,thigh_mag_y,thigh_mag_z,shank_acc_x,shank_acc_y,shank_acc_z,shank_gyro_x,shank_gyro_y,shank_gyro_z,shank_mag_x,shank_mag_y,shank_mag_z,foot_acc_x,foot_acc_y,foot_acc_z,foot_gyro_x,foot_gyro_y,foot_gyro_z,foot_mag_x,foot_mag_y,foot_mag_z,foot_euler_x,foot_euler_y,foot_euler_z,perturbation_event
48.889,0.8021,-9.0285,-4.1300,-0.0080,0.0189,0.0053,-54.0000,-25.5000,-36.4500,-9.7899,-0.3208,-0.7949,-0.0008,0.0322,0.0035,53.7000,30.0000,7.0500,-9.8100,-0.8400,0.5800,-0.0022,0.0011,0.0000,9.2500,-3.0625,1.5625,0.5625,-83.8125,5.0000,0
48.895,0.8021,-9.0285,-4.1300,-0.0035,-0.0024,0.0056,-52.6500,-25.0500,-36.6000,-9.7899,-0.3208,-0.7949,-0.0075,0.0328,-0.0043,53.7000,30.0000,7.0500,-9.7700,-0.8200,0.5600,-0.0022,0.0011,0.0000,9.2500,-3.0625,1.5625,0.5625,-83.8125,5.0000,0
48.905,0.7542,-9.0980,-4.1539,-0.0229,0.0075,0.0051,-53.2500,-25.2000,-36.0000,-9.7971,-0.3831,-0.7709,-0.0149,0.0344,-0.0021,54.3000,30.1500,6.1500,-9.7100,-0.8400,0.6300,-0.0022,0.0120,0.0000,9.2500,-3.0625,1.5625,0.5625,-83.8125,5.0000,0
48.914,0.8619,-9.0573,-4.1037,-0.0357,-0.0037,0.0187,-53.4000,-25.3500,-34.3500,-9.8162,-0.3831,-0.8045,-0.0037,0.0370,-0.0027,54.3000,30.1500,6.1500,-9.8100,-0.8600,0.5500,-0.0022,0.0022,-0.0033,9.2500,-3.0625,1.5625,0.5625,-83.8125,5.0000,0
48.924,0.7614,-9.0812,-4.1276,-0.0445,-0.0115,0.0187,-53.1000,-24.6000,-36.9000,-9.8067,-0.3735,-0.7183,-0.0160,0.0312,-0.0024,53.5500,31.6500,6.9000,-9.7400,-0.8000,0.6000,0.0000,-0.0022,-0.0044,9.2500,-3.0625,1.5625,0.5625,-83.8125,5.0000,0
48.933,0.6584,-8.8490,-4.1444,-0.0719,-0.0320,0.0384,-53.7000,-25.2000,-36.7500,-9.8210,-0.4525,-0.8212,-0.0064,0.0301,-0.0008,53.4000,30.7500,6.3000,-9.7800,-0.8100,0.5700,0.0011,0.0022,0.0000,9.2500,-3.0625,1.5625,0.5625,-83.8125,5.0000,0
48.938,0.6369,-9.1482,-4.2593,-0.0719,-0.0320,0.0384,-53.7000,-25.2000,-36.7500,-9.7468,-0.4118,-0.7614,-0.0064,0.0301,-0.0008,52.3500,30.4500,6.9000,-9.7800,-0.8100,0.5700,0.0011,0.0022,0.0000,9.2500,-3.0625,-0.2500,0.5625,-83.8125,5.0000,0
48.945,0.7374,-8.7915,-4.2066,-0.0501,0.0104,0.0272,-53.7000,-24.7500,-36.0000,-9.7636,-0.3304,-0.8356,-0.0285,0.0163,0.0123,52.3500,30.4500,6.9000,-9.8000,-0.8300,0.6100,0.0022,-0.0033,0.0033,9.2500,-3.0625,-0.2500,0.5625,-83.8125,5.0000,0
48.955,0.6009,-8.9711,-4.1851,-0.0224,-0.0125,0.0072,-53.7000,-25.9500,-36.4500,-9.8689,-0.3017,-0.7446,0.0064,0.0123,0.0091,52.6500,31.5000,5.7000,-9.7300,-0.8900,0.5400,0.0044,-0.0098,0.0055,9.2500,-3.0625,-0.2500,0.5625,-83.8125,5.0000,0
48.965,0.6225,-9.1889,-4.2689,-0.0125,0.0048,-0.0171,-54.1500,-26.5500,-36.6000,-9.7659,-0.3639,-0.7446,-0.0117,0.0211,0.0045,54.3000,30.4500,6.1500,-9.7300,-0.7300,0.5900,0.0044,-0.0065,0.0065,9.2500,-3.0625,-0.2500,0.5625,-83.8125,5.0000,0
