timestamp,thigh_acc_x,thigh_acc_y,thigh_acc_z,thigh_gyro_x,thigh_gyro_y,thigh_gyro_z,thigh_mag_x,thigh_mag_y,thigh_mag_z,shank_acc_x,shank_acc_y,shank_acc_z,shank_gyro_x,shank_gyro_y,shank_gyro_z,shank_mag_x,shank_mag_y,shank_mag_z,foot_acc_x,foot_acc_y,foot_acc_z,foot_gyro_x,foot_gyro_y,foot_gyro_z,foot_mag_x,foot_mag_y,foot_mag_z,foot_euler_x,foot_euler_y,foot_euler_z,perturbation_event
1776973480.947,9.1291,1.2857,0.3735,-2.5029,0.0437,-0.2294,-84.1500,-6.9000,-11.1000,8.1858,0.9577,-0.4717,-2.2953,0.0213,0.3661,-96.6000,22.8000,-0.3000,-2.4700,-5.2100,-9.0700,0.7745,0.9130,2.6682,35.0625,-2.0000,41.0000,141.1875,-20.0000,158.4375,0
1776973480.954,8.6694,0.8571,0.5291,-2.4661,-0.0240,-0.3019,-84.4500,-7.5000,-11.5500,8.2887,0.7278,-0.2658,-2.4283,0.1740,0.3437,-97.0500,19.2000,-1.5000,-1.8500,-4.2500,-8.6500,0.7167,1.0483,2.7194,35.0625,-2.0000,41.0000,142.8750,-20.0000,158.6875,0
1776973480.959,8.6694,0.8571,0.5291,-2.4661,-0.0240,-0.3019,-84.4500,-7.5000,-11.5500,8.0685,0.5291,-0.1796,-2.4701,0.3200,0.3483,-97.0500,19.2000,-1.5000,-1.8500,-4.2500,-8.6500,0.7167,1.0483,2.7194,35.0625,-2.0000,41.0000,144.6250,-19.9375,158.8125,0
1776973480.967,8.4396,0.5674,0.6345,-2.4776,-0.0815,-0.3656,-83.8500,-7.3500,-11.4000,8.0685,0.5291,-0.1796,-2.6303,0.4197,0.3752,-97.0500,18.4500,1.2000,-1.8600,-3.8600,-8.3300,0.7690,1.1606,2.7413,35.0625,-2.0000,41.0000,146.3125,-19.8125,158.9375,0
1776973480.977,8.2408,0.2538,0.6129,-2.5889,-0.1314,-0.4122,-83.8500,-7.3500,-11.4000,7.5729,0.9266,-0.3041,-2.7448,0.4922,0.3821,-97.0500,18.4500,1.2000,-1.8000,-3.7600,-7.9400,0.9087,1.2588,2.7162,35.0625,-2.0000,41.0000,146.3125,-19.8125,158.9375,0
1776973480.982,8.1283,0.0407,0.7829,-2.6985,-0.2134,-0.4596,-85.8000,-4.2000,-12.9000,7.5729,0.9266,-0.3041,-2.7448,0.4922,0.3821,-96.7500,15.4500,0.1500,-1.8000,-3.7600,-7.9400,0.9087,1.2588,2.7162,35.0625,-2.0000,41.0000,148.0625,-19.6875,158.9375,0
1776973480.987,8.1283,0.0407,0.7829,-2.6985,-0.2134,-0.4596,-85.8000,-4.2000,-12.9000,7.3215,1.2570,-0.6153,-3.0763,0.6659,0.4032,-96.7500,15.4500,0.1500,-1.8500,-3.9800,-7.1000,1.0516,1.3232,2.6747,32.5000,-4.5000,41.0000,148.0625,-19.6875,158.9375,0
1776973480.992,8.0996,0.0239,0.9290,-2.8202,-0.2521,-0.4895,-85.8000,-4.2000,-12.9000,7.3215,1.2570,-0.6153,-3.0763,0.6659,0.4032,-97.3500,14.5500,0.6000,-1.8500,-3.9800,-7.1000,1.0516,1.3232,2.6747,32.5000,-4.5000,41.0000,149.7500,-19.5000,158.8750,0
1776973480.997,8.0996,0.0239,0.9290,-2.8202,-0.2521,-0.4895,-85.8000,-4.2000,-12.9000,7.3670,1.9201,-0.5315,-3.2967,0.7538,0.4636,-97.3500,14.5500,0.6000,-2.1100,-3.5900,-6.9300,1.1432,1.3363,2.6376,32.5000,-4.5000,41.0000,149.7500,-19.5000,158.8750,0
1776973481.005,8.1547,0.1939,1.0032,-2.9180,-0.2753,-0.4916,-84.1500,-4.6500,-12.4500,7.3670,1.9201,-0.5315,-3.2967,0.7538,0.4636,-95.4000,11.5500,0.3000,-2.6100,-3.1600,-6.8400,1.2414,1.3264,2.5940,32.5000,-4.5000,41.0000,151.4375,-19.3750,158.7500,0
