timestamp,thigh_acc_x,thigh_acc_y,thigh_acc_z,thigh_gyro_x,thigh_gyro_y,thigh_gyro_z,thigh_mag_x,thigh_mag_y,thigh_mag_z,shank_acc_x,shank_acc_y,shank_acc_z,shank_gyro_x,shank_gyro_y,shank_gyro_z,shank_mag_x,shank_mag_y,shank_mag_z,foot_acc_x,foot_acc_y,foot_acc_z,foot_gyro_x,foot_gyro_y,foot_gyro_z,foot_mag_x,foot_mag_y,foot_mag_z,foot_euler_x,foot_euler_y,foot_euler_z,perturbation_event
1776971685.546,9.2680,2.8994,-0.9912,-0.0866,-0.0112,-0.0309,-95.4000,28.3500,-27.1500,9.5146,-1.5969,-1.7933,-0.0320,0.0541,-0.0309,149.5500,1128.7500,-1024.2000,6.9200,0.3900,-7.0200,0.0065,-0.0131,0.0000,-49.0000,-10.5625,54.1875,59.1250,44.5000,-176.5000,0
1776971685.551,9.1794,2.8802,-0.9098,-0.0735,-0.0131,-0.0296,-95.4000,28.3500,-27.1500,9.5146,-1.5969,-1.7933,-0.0320,0.0541,-0.0309,149.5500,1128.7500,-1024.2000,6.9200,0.3900,-7.0200,0.0065,-0.0131,0.0000,-49.0000,-10.5625,54.1875,59.1250,44.5000,-176.5000,0
1776971685.560,9.1387,2.8539,-0.8978,-0.0735,-0.0131,-0.0296,-95.8500,27.9000,-27.4500,9.4834,-1.6352,-1.8100,-0.0107,0.0498,-0.0317,149.5500,1128.7500,-1024.2000,6.8900,0.3900,-7.0300,0.0087,-0.0207,0.0000,-49.0000,-10.5625,54.1875,59.1250,44.5000,-176.5000,0
1776971685.566,9.1387,2.8539,-0.8978,-0.0517,-0.0120,-0.0354,-96.7500,27.3000,-26.5500,9.4978,-1.6352,-1.8052,0.0016,0.0501,-0.0301,147.9000,1129.9500,-1024.6500,6.9200,0.3900,-7.0200,0.0065,-0.0273,0.0000,-49.0000,-10.5625,54.1875,59.1250,44.5000,-176.5000,0
1776971685.571,9.1866,2.7797,-0.9481,-0.0432,-0.0107,-0.0394,-96.7500,27.3000,-26.5500,9.4978,-1.6352,-1.8052,0.0016,0.0501,-0.0301,147.9000,1129.9500,-1024.6500,6.9200,0.3900,-7.0200,0.0065,-0.0273,0.0000,-49.0000,-10.5625,54.1875,59.1250,44.5000,-176.5000,0
1776971685.576,9.1866,2.7797,-0.9481,-0.0432,-0.0107,-0.0394,-96.6000,28.3500,-26.7000,9.4571,-1.6592,-1.8220,-0.0008,0.0514,-0.0309,151.3500,1129.8000,-1024.8000,6.9200,0.4000,-7.0000,0.0065,-0.0327,0.0033,-48.5625,-9.5000,53.8750,59.1250,44.5000,-176.5000,0
1776971685.581,9.2249,2.7246,-0.9505,-0.0378,-0.0115,-0.0437,-96.6000,28.3500,-26.7000,9.4571,-1.6592,-1.8220,-0.0008,0.0514,-0.0309,151.3500,1129.8000,-1024.8000,6.9200,0.4000,-7.0000,0.0065,-0.0327,0.0033,-48.5625,-9.5000,53.8750,59.1250,44.5000,-176.5000,0
1776971685.585,9.2249,2.7246,-0.9505,-0.0378,-0.0115,-0.0437,-95.8500,27.4500,-27.4500,9.5577,-1.6568,-1.8316,-0.0099,0.0562,-0.0338,147.6000,1130.4000,-1023.6000,6.9200,0.4000,-7.0000,0.0076,-0.0436,0.0044,-48.5625,-9.5000,53.8750,59.1250,44.4375,-176.5000,0
1776971685.590,9.1842,2.7940,-0.8308,-0.0397,-0.0221,-0.0381,-95.8500,27.4500,-27.4500,9.5577,-1.6568,-1.8316,-0.0099,0.0562,-0.0338,147.6000,1130.4000,-1023.6000,6.9200,0.3900,-7.0200,0.0076,-0.0436,0.0044,-48.5625,-9.5000,53.8750,59.1250,44.4375,-176.5000,0
1776971685.595,9.1842,2.7940,-0.8308,-0.0397,-0.0221,-0.0381,-95.8500,27.4500,-27.4500,9.5792,-1.6328,-1.8004,-0.0205,0.0610,-0.0328,149.1000,1131.1500,-1023.6000,6.9200,0.3900,-7.0200,0.0055,-0.0458,0.0033,-48.5625,-9.5000,53.8750,59.1250,44.4375,-176.5000,0
