timestamp,thigh_acc_x,thigh_acc_y,thigh_acc_z,thigh_gyro_x,thigh_gyro_y,thigh_gyro_z,thigh_mag_x,thigh_mag_y,thigh_mag_z,shank_acc_x,shank_acc_y,shank_acc_z,shank_gyro_x,shank_gyro_y,shank_gyro_z,shank_mag_x,shank_mag_y,shank_mag_z,foot_acc_x,foot_acc_y,foot_acc_z,foot_gyro_x,foot_gyro_y,foot_gyro_z,foot_mag_x,foot_mag_y,foot_mag_z,foot_euler_x,foot_euler_y,foot_euler_z,perturbation_event
1776973480.947,8.1858,0.9577,-0.4717,-2.2953,0.0213,0.3661,-96.6,22.8,-0.3,9.1291,1.2857,0.3735,-2.5029,0.0437,-0.2294,-84.15,-6.9,-11.1,-2.47,-5.21,-9.07,0.7745,0.913,2.6682,35.0625,-2.0,41.0,141.1875,-20.0,158.4375,0
1776973480.954,8.2887,0.7278,-0.2658,-2.4283,0.174,0.3437,-97.05,19.2,-1.5,8.6694,0.8571,0.5291,-2.4661,-0.024,-0.3019,-84.45,-7.5,-11.55,-1.85,-4.25,-8.65,0.7167,1.0483,2.7194,35.0625,-2.0,41.0,142.875,-20.0,158.6875,0
1776973480.959,8.0685,0.5291,-0.1796,-2.4701,0.32,0.3483,-97.05,19.2,-1.5,8.6694,0.8571,0.5291,-2.4661,-0.024,-0.3019,-84.45,-7.5,-11.55,-1.85,-4.25,-8.65,0.7167,1.0483,2.7194,35.0625,-2.0,41.0,144.625,-19.9375,158.8125,0
1776973480.967,8.0685,0.5291,-0.1796,-2.6303,0.4197,0.3752,-97.05,18.45,1.2,8.4396,0.5674,0.6345,-2.4776,-0.0815,-0.3656,-83.85,-7.35,-11.4,-1.86,-3.86,-8.33,0.769,1.1606,2.7413,35.0625,-2.0,41.0,146.3125,-19.8125,158.9375,0
1776973480.977,7.5729,0.9266,-0.3041,-2.7448,0.4922,0.3821,-97.05,18.45,1.2,8.2408,0.2538,0.6129,-2.5889,-0.1314,-0.4122,-83.85,-7.35,-11.4,-1.8,-3.76,-7.94,0.9087,1.2588,2.7162,35.0625,-2.0,41.0,146.3125,-19.8125,158.9375,0
1776973480.982,7.5729,0.9266,-0.3041,-2.7448,0.4922,0.3821,-96.75,15.45,0.15,8.1283,0.0407,0.7829,-2.6985,-0.2134,-0.4596,-85.8,-4.2,-12.9,-1.8,-3.76,-7.94,0.9087,1.2588,2.7162,35.0625,-2.0,41.0,148.0625,-19.6875,158.9375,0
1776973480.987,7.3215,1.257,-0.6153,-3.0763,0.6659,0.4032,-96.75,15.45,0.15,8.1283,0.0407,0.7829,-2.6985,-0.2134,-0.4596,-85.8,-4.2,-12.9,-1.85,-3.98,-7.1,1.0516,1.3232,2.6747,32.5,-4.5,41.0,148.0625,-19.6875,158.9375,0
1776973480.992,7.3215,1.257,-0.6153,-3.0763,0.6659,0.4032,-97.35,14.55,0.6,8.0996,0.0239,0.929,-2.8202,-0.2521,-0.4895,-85.8,-4.2,-12.9,-1.85,-3.98,-7.1,1.0516,1.3232,2.6747,32.5,-4.5,41.0,149.75,-19.5,158.875,0
1776973480.997,7.367,1.9201,-0.5315,-3.2967,0.7538,0.4636,-97.35,14.55,0.6,8.0996,0.0239,0.929,-2.8202,-0.2521,-0.4895,-85.8,-4.2,-12.9,-2.11,-3.59,-6.93,1.1432,1.3363,2.6376,32.5,-4.5,41.0,149.75,-19.5,158.875,0
1776973481.005,7.367,1.9201,-0.5315,-3.2967,0.7538,0.4636,-95.4,11.55,0.3,8.1547,0.1939,1.0032,-2.918,-0.2753,-0.4916,-84.15,-4.65,-12.45,-2.61,-3.16,-6.84,1.2414,1.3264,2.594,32.5,-4.5,41.0,151.4375,-19.375,158.75,0
1776973481.01,7.2042,2.478,-0.7111,-3.3915,0.81,0.5161,-96.75,11.7,1.2,8.2624,0.6009,0.9505,-2.9812,-0.2878,-0.4748,-84.15,-4.65,-12.45,-2.61,-3.16,-6.84,1.2414,1.3264,2.594,32.5,-4.5,41.0,153.125,-19.1875,158.5625,0
