timestamp,thigh_acc_x,thigh_acc_y,thigh_acc_z,thigh_gyro_x,thigh_gyro_y,thigh_gyro_z,thigh_mag_x,thigh_mag_y,thigh_mag_z,shank_acc_x,shank_acc_y,shank_acc_z,shank_gyro_x,shank_gyro_y,shank_gyro_z,shank_mag_x,shank_mag_y,shank_mag_z,foot_acc_x,foot_acc_y,foot_acc_z,foot_gyro_x,foot_gyro_y,foot_gyro_z,foot_mag_x,foot_mag_y,foot_mag_z,foot_euler_x,foot_euler_y,foot_euler_z,perturbation_event
1776971150.8,9.8737,-0.431,-0.419,0.2374,0.1961,-0.0813,-35.55,28.5,14.25,9.8162,0.644,0.2562,-0.4066,-0.0141,-0.2084,-91.95,14.55,-19.05,5.06,-1.55,-8.26,-0.0338,0.1669,-0.0011,0.75,2.75,49.1875,150.4375,31.125,168.375,0
1776971150.805,9.8737,-0.431,-0.419,0.2374,0.1961,-0.0813,-35.7,29.4,14.4,9.8162,0.644,0.2562,-0.4066,-0.0141,-0.2084,-91.95,14.55,-19.05,5.32,-1.59,-8.15,-0.0229,0.1833,-0.0033,1.75,3.1875,49.1875,150.4375,31.25,168.375,0
1776971150.81,9.8641,-0.5507,-0.1652,0.1231,0.2348,-0.049,-35.7,29.4,14.4,9.4523,0.2083,1.0487,-0.5977,0.0091,-0.1839,-91.8,14.85,-18.0,5.32,-1.59,-8.15,-0.0229,0.1833,-0.0033,1.75,3.1875,49.1875,150.4375,31.25,168.375,0
1776971150.815,9.8641,-0.5507,-0.1652,0.1231,0.2348,-0.049,-35.85,29.25,13.8,9.4523,0.2083,1.0487,-0.5977,0.0091,-0.1839,-91.8,14.85,-18.0,5.34,-1.7,-8.16,0.0011,0.1309,0.0,1.75,3.1875,49.1875,150.4375,31.3125,168.375,0
1776971150.82,9.8833,-0.5986,-0.1269,0.0232,0.2587,-0.0354,-35.85,29.25,13.8,9.2392,-0.2466,1.573,-0.704,0.0192,-0.1599,-91.8,14.85,-18.0,5.34,-1.7,-8.16,0.0131,0.1134,-0.0033,1.75,3.1875,49.1875,150.4375,31.375,168.375,0
1776971150.827,9.7947,-0.3855,-0.0335,-0.04,0.2611,-0.0357,-36.3,30.3,15.6,9.2392,-0.2466,1.573,-0.704,0.0192,-0.1599,-93.0,13.95,-16.65,5.37,-1.68,-8.16,0.0131,0.1134,-0.0033,1.75,3.1875,49.1875,150.4375,31.4375,168.3125,0
1776971150.836,9.7444,-0.1173,-0.0455,-0.0402,0.2411,-0.0386,-36.3,30.3,15.6,9.3087,-0.4956,2.0542,-0.7184,0.0163,-0.1287,-93.0,13.95,-16.65,5.38,-1.68,-8.15,0.024,0.1036,-0.0065,1.75,3.1875,49.1875,150.4375,31.5,168.3125,0
1776971150.846,9.6391,0.0,-0.0958,-0.0211,0.227,-0.0466,-36.75,28.2,15.0,9.1985,-0.6081,2.3894,-0.6504,0.0005,-0.0874,-91.5,15.15,-17.7,5.38,-1.63,-8.11,0.0349,0.0709,-0.0011,1.75,3.1875,49.1875,150.4375,31.5,168.3125,0
1776971150.851,9.6391,0.0,-0.0958,-0.0211,0.227,-0.0466,-36.75,28.2,15.0,9.1482,-0.6369,2.8132,-0.5143,0.0147,-0.0616,-90.45,15.0,-17.85,5.38,-1.63,-8.11,0.0349,0.0709,-0.0011,1.75,3.1875,49.1875,150.4375,31.5,168.3125,0
1776971150.856,9.675,-0.0982,0.0096,0.0032,0.2126,-0.0496,-35.85,31.05,14.85,9.1842,-0.5578,2.9712,-0.5143,0.0147,-0.0616,-90.45,15.0,-17.85,5.35,-1.65,-8.11,0.0349,0.0415,0.0022,0.6875,3.1875,50.5,150.4375,31.5,168.3125,0
1776971150.861,9.675,-0.0982,0.0096,0.0032,0.2126,-0.0496,-35.85,31.05,14.85,9.1842,-0.5578,2.9712,-0.368,0.0418,-0.0346,-91.05,15.9,-18.75,5.35,-1.65,-8.11,0.0349,0.0415,0.0022,0.6875,3.1875,50.5,150.4375,31.5,168.3125,0
1776971150.866,9.7971,-0.079,0.1891,0.012,0.1876,-0.0477,-34.95,30.15,15.45,9.1937,-0.34,2.9928,-0.368,0.0418,-0.0346,-91.05,15.9,-18.75,5.33,-1.61,-8.11,0.0218,0.0578,-0.0011,0.6875,3.1875,50.5,150.4375,31.5625,168.25,0
1776971150.871,9.7971,-0.079,0.1891,0.012,0.1876,-0.0477,-34.95,30.15,15.45,9.1937,-0.34,2.9928,-0.1809,0.0277,-0.0195,-91.8,14.4,-16.95,5.33,-1.61,-8.11,0.0087,0.0654,-0.0022,0.6875,3.1875,50.5,150.4375,31.5625,168.25,0
1776971150.877,9.8857,-0.2562,0.2729,0.0208,0.1636,-0.0549,-36.3,28.8,15.6,9.1985,-0.0934,2.9712,-0.0216,0.0557,-0.0104,-91.2,14.55,-16.05,5.29,-1.63,-8.07,0.0087,0.0654,-0.0022,0.6875,3.1875,50.5,150.4375,31.625,168.25,0
1776971150.886,9.9431,-0.2251,0.249,0.0373,0.1367,-0.0613,-34.95,29.4,15.45,9.2201,0.1365,2.8204,0.1079,0.0978,0.0013,-91.2,14.55,-16.05,5.27,-1.63,-8.11,0.0033,0.0785,-0.0022,0.6875,3.1875,50.5,150.4375,31.625,168.25,0
1776971150.891,9.9431,-0.2251,0.249,0.0373,0.1367,-0.0613,-34.95,29.4,15.45,9.2201,0.1365,2.8204,0.1079,0.0978,0.0013,-91.2,14.55,-16.05,5.27,-1.63,-8.11,-0.0076,0.0949,-0.0022,0.6875,3.1875,50.5,150.4375,31.6875,168.25,0
1776971150.897,9.924,-0.1987,0.3424,0.0778,0.1204,-0.0626,-34.95,29.4,15.45,9.2129,0.2083,2.7461,0.2006,0.1466,0.0163,-91.8,13.95,-16.65,5.28,-1.61,-8.07,-0.0076,0.0949,-0.0022,0.6875,3.1875,50.5,150.4375,31.6875,168.25,0
1776971150.902,9.924,-0.1987,0.3424,0.0778,0.1204,-0.0626,-34.95,29.4,15.45,9.2129,0.2083,2.7461,0.2006,0.1466,0.0163,-91.8,13.95,-16.65,5.28,-1.61,-8.07,-0.0164,0.1069,-0.0044,0.6875,3.875,48.875,150.4375,31.75,168.25,0
1776971150.907,10.058,-0.182,0.4477,0.1367,0.0925,-0.0805,-37.05,28.5,15.9,9.1698,0.2873,2.7533,0.2713,0.1998,0.0293,-91.8,13.95,-16.65,5.28,-1.61,-8.08,-0.0164,0.1069,-0.0044,0.6875,3.875,48.875,150.4375,31.75,168.25,0
1776971150.912,10.058,-0.182,0.4477,0.1367,0.0925,-0.0805,-37.05,28.5,15.9,9.1698,0.2873,2.7533,0.2713,0.1998,0.0293,-91.8,13.95,-16.65,5.28,-1.61,-8.08,-0.0251,0.1178,-0.0022,0.6875,3.875,48.875,150.4375,31.8125,168.25,0
1776971150.917,10.0102,-0.1652,0.51,0.1769,0.057,-0.0903,-36.45,28.95,14.7,9.1985,0.2801,2.794,0.3054,0.2523,0.0565,-91.95,15.0,-17.85,5.2,-1.61,-8.0,-0.0251,0.1178,-0.0022,0.6875,3.875,48.875,150.4375,31.8125,168.25,0
1776971150.922,10.0102,-0.1652,0.51,0.1769,0.057,-0.0903,-35.7,28.95,14.7,9.1985,0.2801,2.794,0.3054,0.2523,0.0565,-91.95,15.0,-17.85,5.2,-1.61,-8.0,-0.0327,0.1462,-0.0055,0.6875,3.875,48.875,150.5,31.875,168.3125,0
