timestamp,thigh_acc_x,thigh_acc_y,thigh_acc_z,thigh_gyro_x,thigh_gyro_y,thigh_gyro_z,thigh_mag_x,thigh_mag_y,thigh_mag_z,shank_acc_x,shank_acc_y,shank_acc_z,shank_gyro_x,shank_gyro_y,shank_gyro_z,shank_mag_x,shank_mag_y,shank_mag_z,foot_acc_x,foot_acc_y,foot_acc_z,foot_gyro_x,foot_gyro_y,foot_gyro_z,foot_mag_x,foot_mag_y,foot_mag_z,foot_euler_x,foot_euler_y,foot_euler_z,perturbation_event,time_s,thigh_acc_mag,thigh_gyro_mag,shank_acc_mag,shank_gyro_mag,foot_acc_mag,foot_gyro_mag
1776970346.214,8.8992,-0.0383,2.8683,-1.0637,0.1767,0.0706,-88.05,-16.35,-0.6,9.5265,2.138,-0.1748,-0.4183,0.7538,0.5105,-39.45,6.75,32.7,6.43,-0.54,-8.21,0.096,0.5116,0.0273,-29.875,19.0,18.0625,67.125,36.5,172.1875,0,0.0,9.350100128875626,1.0805854616826935,9.765029507891924,1.001897988819221,10.442250715243338,0.5212445203548907
1776970346.218,8.8346,0.1077,2.7892,-0.9561,0.1743,0.1327,-88.35,-18.0,-0.3,9.5265,2.138,-0.1748,-0.4183,0.7538,0.5105,-38.1,6.75,33.0,5.8,-1.01,-7.74,0.096,0.5116,0.0273,-29.875,19.0,18.0625,67.1875,36.75,172.125,0,0.003999948501586914,9.26506303756213,0.9808756241236704,9.765029507891924,1.001897988819221,9.724592536451077,0.5212445203548907
1776970346.223,8.8346,0.1077,2.7892,-0.9561,0.1743,0.1327,-88.35,-18.0,-0.3,9.1195,2.0518,-0.3783,-0.308,0.7304,0.4823,-38.1,6.75,33.0,5.8,-1.01,-7.74,0.0469,0.2847,0.0196,-29.875,19.0,18.0625,67.1875,36.9375,172.0625,0,0.009000062942504883,9.26506303756213,0.9808756241236704,9.35512022263744,0.9278800838470455,9.724592536451077,0.28920210925925144
1776970346.23,8.8274,0.4142,2.6983,-0.8279,0.1828,0.1591,-87.75,-16.5,0.15,9.1195,2.0518,-0.3783,-0.2731,0.7037,0.4525,-37.65,7.05,33.45,5.71,-0.87,-7.73,0.0469,0.2847,0.0196,-29.875,19.0,18.0625,67.25,37.125,172.0625,0,0.016000032424926758,9.239879614475505,0.8626395887043441,9.35512022263744,0.8800758774105787,9.649554393856745,0.28920210925925144
1776970346.239,8.904,0.5626,2.6193,-0.7416,0.2057,0.1657,-87.75,-16.5,0.15,9.2512,1.7621,0.0527,-0.2731,0.7037,0.4525,-37.65,7.05,33.45,5.81,-0.73,-7.81,-0.0404,0.3491,0.0404,-29.875,19.0,18.0625,67.25,37.125,172.0625,0,0.02500009536743164,9.298304536311983,0.78723537776195,9.417668243254273,0.8800758774105787,9.76140870981233,0.3537444416524449
1776970346.249,8.746,1.3216,2.9018,-0.6792,0.2393,0.1793,-85.95,-16.5,0.45,9.1099,1.5299,0.0359,-0.3842,0.6664,0.4383,-37.95,5.4,34.65,5.82,-0.74,-7.79,-0.0524,0.3447,0.0491,-29.875,19.0,18.0625,67.25,37.3125,172.0625,0,0.03500008583068848,9.309113051198809,0.7421089003643603,9.237540843211466,0.8853278997072215,9.752133099994074,0.3521003550126015
1776970346.254,8.8274,1.3599,3.0239,-0.6384,0.3083,0.1703,-85.95,-16.5,0.45,9.4332,1.4772,0.249,-0.3842,0.6664,0.4383,-38.85,5.55,33.75,5.82,-0.74,-7.79,-0.0524,0.3447,0.0491,-29.875,19.0,18.0625,67.25,37.3125,172.0625,0,0.039999961853027344,9.429543466149356,0.729112844489795,9.551407387395848,0.8853278997072215,9.752133099994074,0.3521003550126015
1776970346.259,8.8274,1.3599,3.0239,-0.6384,0.3083,0.1703,-85.95,-16.5,0.45,9.493,1.3695,0.0383,-0.4879,0.6702,0.4485,-38.85,5.55,33.75,5.84,-0.68,-7.88,-0.0545,0.3327,0.072,-31.6875,19.25,18.1875,67.3125,37.5,172.0,0,0.04500007629394531,9.429543466149356,0.729112844489795,9.59135267519655,0.9425320684199557,9.831703819786274,0.344736914182395
1776970346.264,8.9591,1.3288,3.2298,-0.5915,0.3291,0.1775,-85.95,-16.5,0.45,9.493,1.3695,0.0383,-0.4879,0.6702,0.4485,-37.35,4.8,34.2,5.84,-0.68,-7.88,-0.0545,0.3327,0.072,-31.6875,19.25,18.1875,67.3125,37.5,172.0,0,0.04999995231628418,9.615757395546124,0.6997751853274022,9.59135267519655,0.9425320684199557,9.831703819786274,0.344736914182395
1776970346.269,8.9591,1.3288,3.2298,-0.5915,0.3291,0.1775,-86.85,-18.3,-1.05,9.6582,1.221,-0.0742,-0.5367,0.6502,0.4612,-37.35,4.8,34.2,5.96,-0.67,-7.64,-0.0022,0.3011,0.0665,-31.6875,19.25,18.1875,67.375,37.625,172.0,0,0.05500006675720215,9.615757395546124,0.6997751853274022,9.735356895358281,0.9609955098750462,9.712883197073875,0.3083639083939623
