timestamp,thigh_acc_x,thigh_acc_y,thigh_acc_z,thigh_gyro_x,thigh_gyro_y,thigh_gyro_z,thigh_mag_x,thigh_mag_y,thigh_mag_z,shank_acc_x,shank_acc_y,shank_acc_z,shank_gyro_x,shank_gyro_y,shank_gyro_z,shank_mag_x,shank_mag_y,shank_mag_z,foot_acc_x,foot_acc_y,foot_acc_z,foot_gyro_x,foot_gyro_y,foot_gyro_z,foot_mag_x,foot_mag_y,foot_mag_z,foot_euler_x,foot_euler_y,foot_euler_z,perturbation_event,time_s,thigh_acc_mag,thigh_gyro_mag,shank_acc_mag,shank_gyro_mag,foot_acc_mag,foot_gyro_mag
1776973299.955,9.6702,-1.6041,1.7669,-0.1823,0.0674,0.4338,-85.35,3.45,-10.65,9.5864,1.6927,1.154,-0.1013,0.1375,0.3147,-106.95,-0.45,7.2,-4.62,-2.12,-8.46,-0.0578,-0.0654,0.0818,12.6875,10.75,37.0625,269.9375,-28.5,164.6875,0,0.0,9.960313271177768,0.47535091248466116,9.802857453314314,0.35805590345642957,9.869670713858696,0.11962123557295334
1776973299.96,9.7516,-1.3791,1.8483,-0.1801,0.0594,0.449,-85.35,3.45,-10.65,9.5696,1.7023,1.1444,-0.0562,0.1663,0.3256,-106.5,-1.2,6.45,-4.62,-2.12,-8.46,-0.048,-0.0644,0.0753,12.6875,10.75,37.0625,269.9375,-28.5,164.75,0,0.005000114440917969,10.020570455817372,0.48740678083096056,9.786966885097753,0.3699047039441375,9.869670713858696,0.11009745682803032
1776973299.966,9.6247,-1.1396,1.719,-0.1801,0.0594,0.449,-86.1,2.7,-11.4,9.5696,1.7023,1.1444,-0.0562,0.1663,0.3256,-106.5,-1.2,6.45,-4.49,-2.11,-8.51,-0.048,-0.0644,0.0753,12.6875,10.75,37.0625,270.0,-28.5625,164.8125,0,0.01100015640258789,9.843195581212434,0.48740678083096056,9.786966885097753,0.3699047039441375,9.850497449367722,0.11009745682803032
1776973299.974,9.6247,-1.1396,1.719,-0.1929,0.0578,0.4546,-84.6,4.2,-11.4,9.5361,1.6328,1.0942,-0.0799,0.149,0.3408,-105.6,-1.8,7.35,-4.54,-2.23,-8.49,-0.0316,-0.0764,0.0742,12.6875,10.75,37.0625,270.0,-28.5625,164.8125,0,0.01900005340576172,9.843195581212434,0.49720459571488274,9.736555483845404,0.3804335027307663,9.88254015929103,0.11109077369430821
1776973299.979,9.5457,-1.1109,2.0279,-0.1228,0.0589,0.4575,-84.6,4.2,-11.4,9.5098,1.6041,1.1732,-0.0485,0.1426,0.3624,-105.6,-1.8,7.35,-4.54,-2.23,-8.49,-0.0185,-0.0873,0.0731,12.6875,10.75,37.0625,270.0,-28.625,164.8125,0,0.024000167846679688,9.821754716444511,0.47734191100300427,9.715237057838578,0.3924547999451657,9.88254015929103,0.11535662096299458
1776973299.985,9.6606,-0.9673,1.9369,-0.0432,0.0608,0.4754,-86.55,3.9,-11.1,9.5098,1.6041,1.1732,-0.0485,0.1426,0.3624,-105.6,-1.8,7.35,-4.62,-2.1,-8.45,-0.0185,-0.0873,0.0731,12.6875,10.75,37.0625,270.0,-28.625,164.8125,0,0.029999971389770508,9.900224404527405,0.48121517016818993,9.715237057838578,0.3924547999451657,9.856819974007845,0.11535662096299458
1776973299.99,9.6606,-0.9673,1.9369,-0.0432,0.0608,0.4754,-86.55,3.9,-11.1,9.5409,1.8483,1.3455,0.0008,0.1319,0.3741,-107.85,-0.75,7.05,-4.62,-2.1,-8.45,-0.0065,-0.0807,0.0665,11.875,11.5,36.75,270.375,-28.625,164.8125,0,0.03500008583068848,9.900224404527405,0.48121517016818993,9.810981395864534,0.39667248455117227,9.856819974007845,0.10477113152009002
1776973299.995,9.5313,-0.9194,1.6424,-0.0125,0.0653,0.4943,-85.5,2.4,-10.5,9.5409,1.8483,1.3455,0.0008,0.1319,0.3741,-107.85,-0.75,7.05,-4.64,-2.05,-8.43,-0.0065,-0.0807,0.0665,11.875,11.5,36.75,270.375,-28.625,164.8125,0,0.039999961853027344,9.715372036623199,0.4987512706750731,9.810981395864534,0.39667248455117227,9.838546640637528,0.10477113152009002
1776973300.0,9.5313,-0.9194,1.6424,-0.0125,0.0653,0.4943,-85.5,2.4,-10.5,9.4355,2.0255,1.3527,0.0285,0.1442,0.3832,-106.2,-0.9,9.0,-4.64,-2.05,-8.43,0.0076,-0.0796,0.0589,11.875,11.5,36.75,270.375,-28.6875,164.875,0,0.04500007629394531,9.715372036623199,0.4987512706750731,9.744799012293685,0.41042432920088934,9.838546640637528,0.09931329216172426
1776973300.005,9.4547,-0.7925,1.9465,0.0208,0.0624,0.5201,-85.5,2.4,-10.5,9.4355,2.0255,1.3527,0.0285,0.1442,0.3832,-106.2,-0.9,9.0,-4.64,-2.05,-8.51,0.0076,-0.0796,0.0589,11.875,11.5,36.75,270.375,-28.6875,164.875,0,0.05000019073486328,9.685466978416684,0.5242427014274973,9.744799012293685,0.41042432920088934,9.907179215094477,0.09931329216172426
1776973300.01,9.4547,-0.7925,1.9465,0.0208,0.0624,0.5201,-85.5,2.4,-10.5,8.9902,1.5323,0.9194,0.0509,0.194,0.3917,-106.5,-1.65,8.25,-4.64,-2.05,-8.51,0.0229,-0.0829,0.0502,11.875,11.5,36.75,270.4375,-28.75,164.875,0,0.05500006675720215,9.685466978416684,0.5242427014274973,9.166075260982751,0.44006329090257007,9.907179215094477,0.099583432356994
1776973300.016,9.5289,-1.0271,1.8483,0.0067,0.0509,0.5391,-85.2,2.85,-10.05,8.9902,1.5323,0.9194,0.0509,0.194,0.3917,-106.2,-1.2,8.7,-4.63,-2.08,-8.46,0.0229,-0.0829,0.0502,11.875,11.5,36.75,270.4375,-28.75,164.875,0,0.06100010871887207,9.76069067791824,0.541539019831443,9.166075260982751,0.44006329090257007,9.86584512345496,0.099583432356994
1776973300.025,9.2584,-1.403,2.2697,-0.0402,0.0384,0.5484,-85.2,2.85,-10.05,9.5696,1.3312,1.0511,-0.1745,0.234,0.4104,-106.2,-1.2,8.7,-4.59,-2.19,-8.43,0.0251,-0.0774,0.0436,11.875,11.5,36.75,270.4375,-28.75,164.875,0,0.07000017166137695,9.63524351793975,0.5512106312472574,9.718752430739245,0.5036212962137324,9.845257741674414,0.09231321682186143
1776973300.03,9.2584,-1.403,2.2697,-0.0402,0.0384,0.5484,-85.2,2.85,-10.05,8.9591,1.2617,1.2522,0.283,0.1423,0.4181,-106.2,-1.2,8.7,-4.59,-2.19,-8.43,0.0251,-0.0698,0.048,11.875,11.5,36.75,270.5,-28.8125,164.875,0,0.07500004768371582,9.63524351793975,0.5512106312472574,9.133748657588514,0.5245435158306697,9.845257741674414,0.08835185340444195
1776973300.036,9.2775,-1.8699,2.3583,-0.0434,0.0709,0.571,-85.8,2.25,-9.6,9.2823,0.7781,1.6592,0.234,0.1815,0.429,-106.2,-1.2,8.7,-4.71,-2.16,-8.26,0.0251,-0.0698,0.048,11.875,11.5,36.75,270.5,-28.8125,164.875,0,0.08100008964538574,9.753466622181058,0.5770193844230885,9.461473328187317,0.5212861498256021,9.750758944820655,0.08835185340444195
1776973300.041,9.2775,-1.8699,2.3583,-0.0434,0.0709,0.571,-85.8,2.25,-9.6,9.2823,0.7781,1.6592,0.234,0.1815,0.429,-106.2,-1.2,8.7,-4.71,-2.16,-8.26,0.0098,-0.0524,0.048,11.875,10.75,37.0625,270.6875,-28.875,164.875,0,0.08599996566772461,9.753466622181058,0.5770193844230885,9.461473328187317,0.5212861498256021,9.750758944820655,0.07173423171680311
1776973300.046,9.6223,-2.0279,2.3487,-0.0946,0.0426,0.5769,-86.1,3.0,-10.35,9.5289,0.3807,1.7502,-0.0597,0.1855,0.4746,-105.15,-2.7,7.95,-4.63,-2.18,-8.3,0.0098,-0.0524,0.048,11.875,10.75,37.0625,270.6875,-28.875,164.875,0,0.09100008010864258,10.110263467882525,0.586154868614089,9.695775767827968,0.5130492179118881,9.750861500400875,0.07173423171680311
1776973300.05,9.6223,-2.0279,2.3487,-0.0946,0.0426,0.5769,-86.1,3.0,-10.35,9.5289,0.3807,1.7502,-0.0597,0.1855,0.4746,-105.15,-2.7,7.95,-4.63,-2.18,-8.3,0.0098,-0.0524,0.048,11.875,10.75,37.0625,270.6875,-28.875,164.875,0,0.09500002861022949,10.110263467882525,0.586154868614089,9.695775767827968,0.5130492179118881,9.750861500400875,0.07173423171680311
1776973300.056,9.426,-2.0806,2.5857,-0.1172,0.0362,0.5633,-85.2,2.1,-10.5,9.5816,0.4908,2.241,0.0616,0.1895,0.5367,-103.65,-2.4,8.25,-4.58,-2.11,-8.37,-0.0033,-0.0393,0.0447,11.875,10.75,37.0625,270.6875,-28.875,164.875,0,0.10100007057189941,9.993208536301042,0.5765007979179214,9.852412100597498,0.5724960261870818,9.771663113308808,0.0596109889198292
1776973300.06,9.426,-2.0806,2.5857,-0.1172,0.0362,0.5633,-85.2,2.1,-10.5,9.5816,0.4908,2.241,0.0616,0.1895,0.5367,-103.65,-2.4,8.25,-4.58,-2.11,-8.37,-0.0087,-0.0404,0.0491,11.875,10.75,37.0625,270.75,-28.875,164.9375,0,0.10500001907348633,9.993208536301042,0.5765007979179214,9.852412100597498,0.5724960261870818,9.771663113308808,0.06417678708068829
1776973300.066,9.5864,-2.3391,2.5402,-0.0501,0.0096,0.5537,-86.1,2.7,-11.85,9.5217,0.5483,2.1907,0.1604,0.2451,0.5886,-104.25,-3.3,9.15,-4.61,-2.15,-8.39,-0.0087,-0.0404,0.0491,11.875,10.75,37.0625,270.75,-28.875,164.9375,0,0.11100006103515625,10.18936061831163,0.5560448363216765,9.785835185103007,0.6574588428183167,9.811559509068882,0.06417678708068829
1776973300.075,9.6582,-2.5379,2.7461,-0.0525,-0.0354,0.5284,-84.75,2.1,-10.8,9.7803,0.5794,2.1045,0.1021,0.2425,0.6582,-104.25,-3.3,7.8,-4.63,-2.14,-8.4,-0.0087,-0.0404,0.0458,11.875,10.75,37.0625,270.75,-28.9375,164.9375,0,0.12000012397766113,10.356776953280399,0.5321803923483089,10.020922746933039,0.7088426482654666,9.827334328290657,0.06168865373794439
1776973300.079,9.6582,-2.5379,2.7461,-0.0525,-0.0354,0.5284,-84.75,2.1,-10.8,9.7803,0.5794,2.1045,0.1021,0.2425,0.6582,-104.25,-3.3,7.8,-4.63,-2.14,-8.4,-0.0033,-0.0415,0.0447,11.875,10.75,37.0625,270.75,-28.9375,164.9375,0,0.12400007247924805,10.356776953280399,0.5321803923483089,10.020922746933039,0.7088426482654666,9.827334328290657,0.061083794905031887
1776973300.086,9.7468,-2.8252,2.3655,-0.064,-0.052,0.5175,-85.5,1.35,-11.25,9.7013,0.6081,2.1548,0.0965,0.2939,0.7072,-104.25,-3.3,7.8,-4.66,-2.11,-8.38,-0.0033,-0.0415,0.0447,11.875,10.75,37.0625,270.75,-28.9375,164.9375,0,0.13100004196166992,10.42005064910915,0.5240288637088609,9.956313089693394,0.7718946171596225,9.81794785074763,0.061083794905031887
1776973300.091,9.7923,-2.715,2.1548,-0.064,-0.052,0.5175,-85.5,1.35,-11.25,9.7013,0.6081,2.1548,0.0965,0.2939,0.7072,-104.25,-3.3,7.8,-4.63,-2.07,-8.42,0.0076,-0.0469,0.0415,12.6875,10.75,36.375,271.0,-29.0,164.9375,0,0.1360001564025879,10.387662264917934,0.5240288637088609,9.956313089693394,0.7718946171596225,9.829455732643593,0.0630842294079907
1776973300.096,9.7923,-2.715,2.1548,-0.0858,-0.0746,0.5164,-85.5,1.35,-11.25,9.4834,0.68,2.2122,0.3214,0.3107,0.7536,-103.35,-4.65,6.9,-4.63,-2.07,-8.42,0.0076,-0.0469,0.0415,12.6875,10.75,36.375,271.0,-29.0,164.9375,0,0.14100003242492676,10.387662264917934,0.5287681533526768,9.761716263034897,0.8762108250872047,9.829455732643593,0.0630842294079907
1776973300.101,9.8497,-2.1548,1.8364,-0.1039,-0.1023,0.5079,-85.5,1.35,-11.25,9.4834,0.68,2.2122,0.3214,0.3107,0.7536,-103.35,-4.65,6.9,-4.63,-2.07,-8.42,0.0251,-0.0524,0.0393,12.6875,10.75,36.375,271.0625,-29.0,164.9375,0,0.14600014686584473,10.248517848450087,0.5284154710074261,9.761716263034897,0.8762108250872047,9.829455732643593,0.07014456500684854
1776973300.106,9.8497,-2.1548,1.8364,-0.1039,-0.1023,0.5079,-84.6,1.05,-10.35,9.6822,0.7805,1.8411,0.3507,0.3206,0.7893,-102.75,-3.3,8.55,-4.62,-2.05,-8.43,0.0251,-0.0524,0.0393,12.6875,10.75,36.375,271.0625,-29.0,164.9375,0,0.1510000228881836,10.248517848450087,0.5284154710074261,9.886547744283643,0.92128678488297,9.829130175147748,0.07014456500684854
1776973300.11,9.9168,-1.3048,1.6281,-0.1175,-0.1279,0.5036,-84.6,1.05,-10.35,9.6822,0.7805,1.8411,0.3507,0.3206,0.7893,-102.75,-3.3,8.55,-4.62,-2.05,-8.43,0.0415,-0.06,0.0371,12.6875,10.75,36.375,271.0625,-29.0,164.9375,0,0.1549999713897705,10.133910148111637,0.5327078186022803,9.886547744283643,0.92128678488297,9.829130175147748,0.08184534195664406
1776973300.116,9.9168,-1.3048,1.6281,-0.1175,-0.1279,0.5036,-85.5,-0.9,-10.8,9.73,0.9074,1.7142,0.3832,0.3099,0.8052,-102.6,-6.9,8.7,-4.54,-1.96,-8.54,0.0415,-0.06,0.0371,12.6875,10.75,36.375,271.0625,-29.0,164.9375,0,0.16100001335144043,10.133910148111637,0.5327078186022803,9.92142915108504,0.9440483515159592,9.868373726202305,0.08184534195664406
1776973300.125,9.9216,-0.9673,1.8962,-0.1303,-0.1428,0.518,-85.5,-0.15,-10.05,9.7252,1.063,1.5802,0.4154,0.3019,0.7991,-102.75,-5.55,8.85,-4.53,-1.9,-8.6,0.0633,-0.0829,0.0338,12.6875,10.75,36.375,271.0625,-29.0625,164.9375,0,0.1700000762939453,10.14738342086274,0.5528959486196295,9.90992008444064,0.9498745075008593,9.904085015790201,0.10964369566919933
1776973300.13,9.8306,-0.7278,1.5419,-0.1103,-0.1266,0.5348,-85.5,-0.15,-10.05,9.7252,1.063,1.5802,0.4154,0.3019,0.7991,-102.75,-5.55,8.85,-4.53,-1.9,-8.6,0.0807,-0.1091,0.0327,12.6875,10.75,36.375,271.125,-29.0625,164.9375,0,0.17500019073486328,9.97736662702138,0.5605396417738893,9.90992008444064,0.9498745075008593,9.904085015790201,0.13958721288140974
1776973300.136,9.8306,-0.7278,1.5419,-0.1103,-0.1266,0.5348,-83.85,0.0,-10.65,9.979,1.2737,1.3838,0.389,0.2766,0.7909,-102.75,-5.55,8.85,-4.51,-2.11,-8.51,0.0807,-0.1091,0.0327,12.6875,10.75,36.375,271.125,-29.0625,164.9375,0,0.1809999942779541,9.97736662702138,0.5605396417738893,10.154686362955776,0.9237701932840224,9.859629810494916,0.13958721288140974
1776973300.141,10.0987,-0.7685,1.4533,-0.1535,-0.1015,0.5761,-83.85,0.0,-10.65,9.979,1.2737,1.3838,0.389,0.2766,0.7909,-102.75,-5.55,8.85,-4.51,-2.11,-8.51,0.0807,-0.1091,0.0327,13.0625,11.5,37.5,271.375,-29.125,164.9375,0,0.18600010871887207,10.231637934856764,0.6047774053319122,10.154686362955776,0.9237701932840224,9.859629810494916,0.13958721288140974
1776973300.146,10.0987,-0.7685,1.4533,-0.1535,-0.1015,0.5761,-84.75,-0.9,-11.55,10.07,1.6616,1.1612,0.3595,0.2686,0.7594,-102.75,-5.55,8.85,-4.49,-2.19,-8.55,0.0654,-0.1178,0.0185,13.0625,11.5,37.5,271.375,-29.125,164.9375,0,0.19099998474121094,10.231637934856764,0.6047774053319122,10.272010514013312,0.882085353012961,9.902459290499507,0.13600091911454126
1776973300.151,10.4962,-0.7949,0.9074,-0.1849,-0.0714,0.6214,-84.75,-0.9,-11.55,10.07,1.6616,1.1612,0.3595,0.2686,0.7594,-102.75,-5.55,8.85,-4.49,-2.19,-8.55,0.0654,-0.1178,0.0185,13.0625,11.5,37.5,271.375,-29.1875,164.9375,0,0.1960000991821289,10.56529484728183,0.6522452989481794,10.272010514013312,0.882085353012961,9.902459290499507,0.13600091911454126
1776973300.156,10.4962,-0.7949,0.9074,-0.1849,-0.0714,0.6214,-84.6,0.3,-11.4,10.4124,1.7406,0.8212,0.3246,0.2601,0.7237,-102.9,-7.95,9.0,-4.45,-1.99,-8.74,0.036,-0.1309,0.0087,13.0625,11.5,37.5,271.375,-29.1875,164.9375,0,0.20099997520446777,10.56529484728183,0.6522452989481794,10.588773845918139,0.8347208275824919,10.007507182110839,0.13603859746410205
1776973300.161,10.5105,-0.4621,0.5363,-0.2238,-0.0749,0.6896,-84.6,0.3,-11.4,10.4124,1.7406,0.8212,0.3246,0.2601,0.7237,-102.9,-7.95,9.0,-4.45,-1.99,-8.74,0.084,-0.1789,0.0371,13.0625,11.5,37.5,271.4375,-29.25,164.875,0,0.20600008964538574,10.534313662977764,0.7288652893367882,10.588773845918139,0.8347208275824919,10.007507182110839,0.20109107389439243
1776973300.166,10.5105,-0.4621,0.5363,-0.2238,-0.0749,0.6896,-84.6,0.3,-11.4,10.3813,1.8435,0.4669,0.2894,0.2403,0.6984,-103.5,-7.5,8.85,-4.0,-2.16,-9.18,0.084,-0.1789,0.0371,13.0625,11.5,37.5,271.4375,-29.375,164.8125,0,0.2109999656677246,10.534313662977764,0.7288652893367882,10.554045553720147,0.7932584761601983,10.243925029011097,0.20109107389439243
1776973300.175,10.4483,-0.3208,1.0247,-0.32,-0.064,0.744,-84.6,-1.95,-11.4,10.4291,2.0614,0.2825,0.2635,0.2284,0.6542,-102.75,-9.0,9.9,-4.22,-2.27,-8.67,0.1211,-0.2454,0.0611,13.0625,11.5,37.5,271.4375,-29.375,164.8125,0,0.2200000286102295,10.503327835500517,0.8124235348634357,10.634627544958969,0.7413342363603612,9.906068846924091,0.28039183297664005
1776973300.185,10.2208,-0.1077,0.8571,-0.2683,-0.0416,0.7978,-84.6,-1.95,-11.4,10.4196,2.2003,0.4046,0.2364,0.2419,0.6121,-103.65,-8.7,8.7,-4.31,-2.28,-8.8,0.0698,-0.3185,0.0774,13.0625,11.5,37.5,271.5,-29.5625,164.75,0,0.23000001907348633,10.257239996217308,0.8427338191861057,10.657067392580382,0.6993332395932571,10.060541734916665,0.3351194563137151
1776973300.19,10.4196,-0.1149,0.9649,-0.2942,-0.0123,0.8463,-84.6,-1.95,-11.4,10.4196,2.2003,0.4046,0.2364,0.2419,0.6121,-103.65,-8.7,8.7,-4.31,-2.28,-8.8,0.0698,-0.3185,0.0774,13.0625,11.5,37.5,271.75,-29.8125,164.6875,0,0.2350001335144043,10.464812381500206,0.8960628437782698,10.657067392580382,0.6993332395932571,10.060541734916665,0.3351194563137151
1776973300.195,10.4196,-0.1149,0.9649,-0.2942,-0.0123,0.8463,-84.6,-1.95,-10.65,10.3382,2.2027,0.34,0.2326,0.2593,0.5692,-103.65,-8.7,8.7,-4.34,-2.26,-8.93,0.0535,-0.3949,0.0949,12.6875,11.1875,36.75,271.75,-29.8125,164.6875,0,0.24000000953674316,10.464812381500206,0.8960628437782698,10.575720615163773,0.667328921896841,10.182735388882497,0.4096514005834717
1776973300.2,10.8457,-0.6129,1.1372,-0.2886,0.0045,0.9132,-84.6,-1.95,-10.65,10.3382,2.2027,0.34,0.2308,0.2582,0.55,-103.65,-8.7,8.7,-4.34,-2.26,-8.93,0.0535,-0.3949,0.0949,12.6875,11.1875,36.75,271.8125,-30.0625,164.6875,0,0.24500012397766113,10.922365986360282,0.9577287977292946,10.575720615163773,0.6499506750515766,10.182735388882497,0.4096514005834717
1776973300.205,10.8457,-0.6129,1.1372,-0.2886,0.0045,0.9132,-83.4,-1.5,-9.9,10.5441,2.2841,0.3065,0.2308,0.2582,0.55,-104.55,-9.3,8.85,-4.35,-2.35,-9.07,0.0458,-0.4385,0.1091,12.6875,11.1875,36.75,271.8125,-30.0625,164.6875,0,0.25,10.922365986360282,0.9577287977292946,10.793011621878298,0.6499506750515766,10.330048402597154,0.45418355320288734
1776973300.21,10.8864,-0.6297,0.7733,-0.2819,-0.032,0.9872,-83.4,-1.5,-9.9,10.7595,2.4828,0.2011,0.2126,0.2132,0.5348,-104.55,-9.3,8.85,-4.35,-2.35,-9.07,0.0295,-0.4789,0.1189,12.6875,11.1875,36.75,271.875,-30.3125,164.6875,0,0.25500011444091797,10.931981519376988,1.0271589214917038,11.044074307066209,0.6137296147327421,10.330048402597154,0.4943204122833691
1776973300.216,11.066,-0.5124,0.6177,-0.2835,-0.0216,1.0762,-84.15,-3.0,-9.9,10.7595,2.4828,0.2011,0.2126,0.2132,0.5348,-103.95,-10.65,8.25,-4.13,-2.35,-9.35,0.0295,-0.4789,0.1189,12.6875,11.1875,36.75,271.875,-30.6875,164.625,0,0.2610001564025879,11.095064806029752,1.1131240946094016,11.044074307066209,0.6137296147327421,10.48817906025636,0.4943204122833691
1776973300.225,11.2504,-0.3974,0.0694,-0.2835,-0.0216,1.0762,-84.45,-4.5,-10.5,10.5441,2.3008,0.3663,0.0197,0.1002,0.5175,-104.55,-9.3,8.55,-4.18,-2.14,-9.41,0.0316,-0.5912,0.1494,12.6875,11.1875,36.75,271.875,-30.6875,164.625,0,0.26999998092651367,11.257630446945752,1.1131240946094016,10.798421233680413,0.5274792697348398,10.516658214470983,0.6106032754579687
