timestamp,thigh_acc_x,thigh_acc_y,thigh_acc_z,thigh_gyro_x,thigh_gyro_y,thigh_gyro_z,thigh_mag_x,thigh_mag_y,thigh_mag_z,shank_acc_x,shank_acc_y,shank_acc_z,shank_gyro_x,shank_gyro_y,shank_gyro_z,shank_mag_x,shank_mag_y,shank_mag_z,foot_acc_x,foot_acc_y,foot_acc_z,foot_gyro_x,foot_gyro_y,foot_gyro_z,foot_mag_x,foot_mag_y,foot_mag_z,foot_euler_x,foot_euler_y,foot_euler_z,perturbation_event,time_s,thigh_acc_mag,thigh_gyro_mag,shank_acc_mag,shank_gyro_mag,foot_acc_mag,foot_gyro_mag
37.435,9.3182,2.3439,-1.7406,-0.049,0.0128,0.0096,-70.2,3.9,-43.2,9.7707,-0.0622,0.5411,0.0,0.0341,-0.0187,-27.3,13.95,2.25,-3.62,-4.81,-7.64,0.6875,0.1875,-0.25,-7.875,-6.5625,21.25,242.125,-21.25,147.375,0,0.0,9.764855698370559,0.05154609587543949,9.785869227615908,0.038890872965260115,9.726772332073985,0.7551903733496608
37.444,9.3422,2.3703,-1.549,-0.0605,0.0093,0.0083,-71.7,1.95,-43.95,9.6869,-0.103,0.5124,0.0008,0.0413,-0.0197,-27.3,13.95,2.25,-3.64,-4.81,-7.63,0.5625,0.1875,-0.1875,-7.875,-6.5625,21.25,242.125,-21.25,147.375,0,0.009000000000000341,9.76188628954466,0.06177078597524885,9.700989350061157,0.04576483366079244,9.726386790581588,0.6218671481916375
37.454,9.3494,2.2625,-1.4653,-0.0554,0.0053,-0.0011,-71.55,3.3,-43.8,9.7276,-0.0646,0.4262,-0.0184,0.0466,-0.0179,-27.75,13.65,1.5,-3.61,-4.83,-7.6,0.625,0.1875,-0.25,-7.875,-6.5625,21.25,242.125,-21.25,147.375,0,0.01899999999999835,9.730225624311082,0.055663812302069286,9.737146469063717,0.05320272549409476,9.701597806547126,0.6987712429686843
37.459,9.3494,2.2625,-1.4653,-0.0554,0.0053,-0.0011,-70.05,4.05,-44.25,9.7923,-0.1365,0.4214,-0.0141,0.0472,-0.0101,-26.7,13.2,2.25,-3.61,-4.83,-7.6,0.6875,0.125,-0.25,-7.0625,-6.5625,22.0625,242.125,-21.25,147.3125,0,0.02400000000000091,9.730225624311082,0.055663812302069286,9.80231347692982,0.05028578327917345,9.701597806547126,0.7421463804398698
37.465,9.3158,2.1811,-1.4581,-0.0248,0.0008,-0.0125,-70.05,4.05,-44.25,9.7923,-0.1365,0.4214,-0.0141,0.0472,-0.0101,-28.5,14.4,1.5,-3.63,-4.81,-7.62,0.6875,0.125,-0.25,-7.0625,-6.5625,22.0625,242.125,-21.25,147.3125,0,0.030000000000001137,9.678191073749266,0.027783628272779637,9.80231347692982,0.05028578327917345,9.71480313748045,0.7421463804398698
37.475,9.2895,2.1859,-1.6376,0.0104,0.0059,-0.0141,-71.1,4.5,-43.8,9.7947,-0.1149,0.486,-0.0069,0.0461,-0.0163,-27.3,12.45,1.2,-3.63,-4.8,-7.63,0.5,0.25,-0.125,-7.0625,-6.5625,22.0625,242.125,-21.25,147.3125,0,0.03999999999999915,9.682701215053577,0.018487292933255534,9.807423010148998,0.0493812717535707,9.71770549049517,0.57282196186948
37.485,9.3302,2.2266,-1.6951,0.0096,0.0032,-0.0109,-70.5,3.45,-45.15,9.7636,-0.158,0.5243,-0.024,0.0456,-0.0192,-28.8,13.95,1.5,-3.6,-4.81,-7.61,0.5625,0.1875,-0.25,-7.0625,-6.5625,22.0625,242.125,-21.25,147.3125,0,0.04999999999999716,9.740828692159615,0.0148731301345749,9.77894367761672,0.05499090833947008,9.695782588321583,0.6434768838116876
37.494,9.2057,2.3104,-1.7549,0.0008,0.0024,-0.0091,-71.55,3.6,-44.55,9.7516,-0.1077,0.4764,-0.0179,0.0405,-0.016,-28.8,13.95,1.5,-3.63,-4.8,-7.61,0.5625,0.0625,-0.25,-7.0625,-6.5625,22.0625,242.125,-21.25,147.3125,0,0.0589999999999975,9.652074111816589,0.009445104552094699,9.763823984996861,0.04708141884013268,9.702010101004843,0.6187184335382291
37.499,9.3134,2.375,-1.6352,0.0008,0.0024,-0.0091,-71.55,3.6,-44.55,9.7492,0.0503,0.4812,-0.0123,0.0437,-0.0101,-28.8,13.95,1.5,-3.63,-4.8,-7.61,0.5625,0.0625,-0.25,-7.0625,-6.5625,22.0625,242.125,-21.25,147.3125,0,0.06400000000000006,9.74956017469506,0.009445104552094699,9.761197886017884,0.04650795630857155,9.702010101004843,0.6187184335382291
37.506,9.3134,2.375,-1.6352,-0.0248,0.0013,-0.0056,-71.55,3.6,-44.55,9.7492,0.0503,0.4812,-0.0104,0.0434,-0.0128,-27.3,12.15,1.5,-3.62,-4.82,-7.63,0.625,0.1875,-0.25,-7.0625,-6.5625,22.0625,242.125,-21.25,147.3125,0,0.07099999999999795,9.74956017469506,0.025457611828292145,9.761197886017884,0.04642800878779964,9.723872685303936,0.6987712429686843
